"","Despacho","Lubricantes","Neumaticos","Repuestos","Servicios","% Descuento","cluster"
"6548640",0,0.36,0,0.64,0,0.07,4
"6548857",0,0,0,1,0,0,2
"6549051",0,0,0,1,0,0,2
"6549106",0,0,1,0,0,0.1,5
"6549782",0,0.51,0,0.49,0,0,3
"6549832",0,0,0,1,0,0,2
"6549907",0,0,0,1,0,0,2
"6550291",0,1,0,0,0,0.06,3
"6551377",0,0.79,0,0.21,0,0,3
"6551589",0,0,1,0,0,0.05,5
"6551769",0,0,0.91,0,0.09,0,5
"6551786",0,0.07,0.4,0.5,0.03,0.03,5
"6552172",0,0,0.9,0,0.1,0.11,5
"6553468",0,0,0.85,0.15,0,0.28,5
"6553903",0,0,0,1,0,0.06,4
"6555183",0,0,0,0,1,0,1
"6555767",0,0,0,1,0,0,2
"6557206",0,0,0,1,0,0.01,2
"6557320",0,1,0,0,0,0,3
"6557794",0,0,0,1,0,0.12,4
"6558302",0,0.42,0,0.47,0.11,0.02,2
"6558317",0,0,0.37,0.63,0,0.11,4
"6558535",0,0,0,1,0,0.12,4
"6559699",0,0.22,0.16,0.46,0.16,0.03,2
"6560648",0,0,0,1,0,0,2
"6560734",0,0,0,1,0,0.19,4
"6561707",0,0,0.92,0.08,0,0.06,5
"6561757",0,0,0,1,0,0.03,2
"6561808",0,0,0.42,0.58,0,0,2
"6562606",0,0,0,0.99,0.01,0.01,2
"6562791",0,0,0,1,0,0,2
"6562957",0,0,0,0,1,0,1
"6563604",0,0.12,0.36,0.52,0,0.06,4
"6563674",0,0,0,1,0,0.12,4
"6563679",0,0,0,1,0,0.05,2
"6563803",0,0,0,1,0,0.05,2
"6564003",0,0,0.75,0.22,0.03,0.01,5
"6564366",0,0,0.88,0,0.12,0.09,5
"6564748",0,0.03,0.24,0.68,0.04,0.1,4
"6565105",0,0,1,0,0,0.25,5
"6566285",0,0,1,0,0,0.12,5
"6566313",0,0.54,0,0.46,0,0.02,3
"6566355",0,1,0,0,0,0,3
"6566556",0,0,0,1,0,0,2
"6566687",0,0,0.95,0.03,0.02,0.07,5
"6566850",0,0,0,1,0,0.12,4
"6566886",0,0,0,0,1,0,1
"6567107",0,0,0,0,1,0,1
"6567303",0,0,0,1,0,0.07,4
"6567677",0,0,0,1,0,0.05,2
"6568667",0,0.1,0,0.9,0,0.04,2
"6568720",0,0,0.87,0,0.13,0.17,5
"6569832",0,0,0,1,0,0,2
"6570083",0,0,0,1,0,0,2
"6570434",0,0,0.95,0,0.05,0.11,5
"6570612",0,0,0,1,0,0,2
"6570625",0,0,0,1,0,0,2
"6570743",0,0,0,0,1,0,1
"6571144",0,0,0,1,0,0,2
"6571263",0,0,0.35,0.65,0,0.05,4
"6571685",0,0,0,1,0,0,2
"6572042",0,0,1,0,0,0.11,5
"6572646",0,0,0,1,0,0.1,4
"6572707",0,0.03,0.69,0.25,0.03,0.04,5
"6573312",0,0.04,0,0.96,0,0.02,2
"6573504",0,1,0,0,0,0.06,3
"6573538",0,1,0,0,0,0,3
"6575122",0,0,1,0,0,0.23,5
"6575158",0,0.06,0.94,0,0,0.12,5
"6575358",0,0,1,0,0,0.03,5
"6575746",0,0,0,0,1,0,1
"6575839",0,0,0.79,0,0.21,0.09,5
"6575997",0,0,0,1,0,0,2
"6576002",0,0,0.95,0.05,0,0.05,5
"6576226",0,0,0.92,0,0.08,0.07,5
"6576399",0,0.26,0,0.74,0,0.05,4
"6576406",0,0.29,0.6,0.11,0,0.03,5
"6576598",0,0,0,0,1,0,1
"6576736",0,0.04,0.67,0.23,0.05,0.03,5
"6577057",0,0,1,0,0,0.04,5
"6577165",0,1,0,0,0,0,3
"6577445",0,0,0.92,0,0.08,0,5
"6577601",0,0,0,1,0,0.1,4
"6577655",0,1,0,0,0,0,3
"6577690",0,0,1,0,0,0.09,5
"6578308",0,0.19,0.61,0.2,0,0.03,5
"6578361",0,0,0.91,0.02,0.08,0.06,5
"6578816",0,1,0,0,0,0.1,3
"6578970",0,0,1,0,0,0.04,5
"6579680",0,0,0,1,0,0,2
"6580129",0,0,0,1,0,0.12,4
"6580332",0,0.65,0,0,0.35,0,3
"6580418",0,0,1,0,0,0,5
"6580656",0,1,0,0,0,0,3
"6580916",0,0,0,1,0,0.15,4
"6581459",0,0,0,0,1,0,1
"6581548",0,0,0.77,0,0.23,0.09,5
"6582092",0,0,0,1,0,0.06,4
"6582201",0,0.01,0.64,0.35,0,0.03,5
"6582312",0,0.18,0.25,0.57,0,0.03,2
"6583010",0,1,0,0,0,0,3
"6583209",0,0,0,1,0,0,2
"6583323",0,1,0,0,0,0,3
"6583452",0,0,0,1,0,0,2
"6583541",0,0,0,0,1,0,1
"6584402",0,0,0.9,0,0.1,0.04,5
"6584613",0,0,1,0,0,0.04,5
"6584989",0,0,1,0,0,0,5
"6585330",0,0,0.84,0,0.16,0.12,5
"6586202",0,0,0,1,0,0.15,4
"6586397",0,0,0,1,0,0,2
"6587454",0,0,0,1,0,0.02,2
"6588008",0,0,0.96,0,0.04,0.12,5
"6588106",0,0,0,0,1,0,1
"6588285",0,0,1,0,0,0,5
"6588317",0,0,0,1,0,0,2
"6588334",0,0,0.86,0.14,0,0.02,5
"6588618",0,0,0,1,0,0,2
"6588634",0,0,0.96,0,0.04,0.07,5
"6588715",0,0,0.97,0,0.03,0.06,5
"6588803",0,0.72,0,0.28,0,0,3
"6588977",0,0.02,0.8,0.17,0,0.04,5
"6589580",0,0.19,0.4,0.41,0,0.04,5
"6589663",0,0.12,0.17,0.7,0.01,0.02,2
"6589738",0,0.48,0.49,0.03,0,0.03,5
"6589829",0,0.4,0.6,0,0,0.16,5
"6590402",0,0,0.82,0,0.18,0.02,5
"6590661",0,0,0,1,0,0.1,4
"6590884",0,0.18,0.27,0.48,0.07,0.06,4
"6591426",0,0,0,0,1,0,1
"6592563",0,0,0,1,0,0.14,4
"6592686",0,0,0,1,0,0.07,4
"6592922",0,1,0,0,0,0,3
"6593098",0,0,0,0.74,0.26,0,2
"6593562",0,0.12,0.3,0.58,0,0.02,2
"6594543",0,0,0,1,0,0,2
"6595083",0,0,1,0,0,0.3,5
"6595905",0,0,0,1,0,0,2
"6595926",0,0,0.96,0,0.04,0.04,5
"6597743",0,0,0,1,0,0.09,4
"6597975",0,0,0,1,0,0,2
"6599079",0,0,0.62,0,0.38,0.09,5
"6599097",0,0,1,0,0,0,5
"6600246",0,0,0,0,1,0,1
"6600348",0,0,0.96,0,0.04,0.05,5
"6600537",0,0,0,1,0,0,2
"6600692",0,1,0,0,0,0,3
"6600820",0,0,0,1,0,0.12,4
"6600999",0,0,0,1,0,0,2
"6601130",0,0,0,1,0,0,2
"6601736",0,0,1,0,0,0,5
"6601964",0,1,0,0,0,0,3
"6601981",0,0,1,0,0,0.14,5
"6602374",0,0.03,0.04,0.94,0,0.08,4
"6602377",0,0,0,1,0,0,2
"6602661",0,0,0,1,0,0.08,4
"6602676",0,0,1,0,0,0,5
"6602759",0,0.03,0.61,0.36,0,0.1,5
"6603001",0,0,0,1,0,0.1,4
"6603087",0,0.15,0,0.85,0,0.02,2
"6603135",0,0.12,0.79,0.08,0.01,0.05,5
"6603325",0,0.26,0,0.7,0.04,0.02,2
"6604558",0,0,0,1,0,0.01,2
"6607316",0,0,0,1,0,0.04,2
"6607340",0,0,0,0,1,0,1
"6607360",0,1,0,0,0,0,3
"6607404",0,0,0.8,0.2,0,0.03,5
"6607673",0,0,1,0,0,0.12,5
"6608077",0,0,0,1,0,0.15,4
"6608191",0,0,0,1,0,0.07,4
"6608448",0,0,0,1,0,0.12,4
"6608473",0,1,0,0,0,0,3
"6608854",0,0,0.93,0,0.07,0.09,5
"6609179",0,0,0,1,0,0.15,4
"6609541",0,0,0,1,0,0,2
"6609681",0,0.15,0.19,0.66,0,0.04,2
"6610081",0,0,0.93,0,0.07,0.11,5
"6610360",0,0,0,1,0,0.21,4
"6610518",0,0,1,0,0,0.07,5
"6610804",0,0.84,0,0.16,0,0.03,3
"6611063",0,0.31,0,0.69,0,0,2
"6611631",0.03,0,0.97,0,0,0,5
"6611757",0,0.13,0.77,0.09,0,0.14,5
"6612058",0,0.24,0.74,0,0.02,0,5
"6612371",0,0,0,0,1,0,1
"6612630",0,0,0,0,1,0,1
"6612787",0,0.48,0.46,0.06,0,0.03,5
"6612956",0,0,0.87,0,0.13,0.21,5
"6613797",0,0,0,1,0,0,2
"6614351",0,0,0.89,0.11,0,0,5
"6614838",0,0,0,1,0,0,2
"6615776",0,0,0,1,0,0.44,4
"6616702",0,0,0,1,0,0.08,4
"6617792",0,0,0,0,1,0,1
"6619521",0,0,0,1,0,0,2
"6619630",0,1,0,0,0,0,3
"6620723",0,0.23,0.19,0.58,0,0.06,4
"6621078",0,0.02,0.91,0.02,0.05,0.03,5
"6621476",0,0,1,0,0,0.04,5
"6622290",0,0.04,0,0.96,0,0.02,2
"6623725",0,0,0.7,0.21,0.09,0.12,5
"6624084",0,0.29,0.59,0,0.12,0.02,5
"6624352",0,0,1,0,0,0.1,5
"6624388",0,0.02,0.98,0,0,0.08,5
"6624393",0,0,0,1,0,0.23,4
"6624629",0,0,0,0,1,0,1
"6624668",0,0,0.71,0,0.29,0.11,5
"6624692",0,0,1,0,0,0.1,5
"6624902",0,0,0,1,0,0.12,4
"6625023",0,0,0,0,1,0,1
"6625245",0,0,0,1,0,0.07,4
"6625366",0,0,0.92,0.08,0,0.08,5
"6625756",0,0,0,1,0,0,2
"6626032",0,0.64,0,0.36,0,0.01,3
"6626138",0,0.13,0.84,0,0.03,0.05,5
"6626143",0,0.21,0,0.79,0,0,2
"6626470",0,0,0,1,0,0,2
"6627011",0,0,1,0,0,0,5
"6627763",0,0,0,1,0,0.02,2
"6628026",0,0,0,1,0,0,2
"6628417",0,0,0,1,0,0.05,2
"6628494",0,0,0.5,0.5,0,0.04,5
"6628722",0,0,0.36,0.57,0.07,0.07,4
"6628973",0,0,0,1,0,0,2
"6629131",0,0,0.88,0,0.12,0.1,5
"6629210",0,0,1,0,0,0.06,5
"6630062",0,0.39,0,0.61,0,0.05,4
"6630085",0,0,0,1,0,0.11,4
"6630269",0,0.11,0,0.89,0,0.1,4
"6630732",0,0.24,0.33,0.43,0,0.08,4
"6630816",0,0,0,1,0,0.11,4
"6630898",0,0,1,0,0,0.06,5
"6630961",0,0,0,1,0,0.07,4
"6631343",0,0,0,1,0,0,2
"6631757",0,0,1,0,0,0.01,5
"6632607",0,0,0,1,0,0.17,4
"6633091",0,0,0.56,0.44,0,0.1,5
"6633272",0,0,0,1,0,0.13,4
"6633544",0,0,0,1,0,0.08,4
"6633610",0,0,0,1,0,0,2
"6633826",0,0,0.86,0.14,0,0.13,5
"6633909",0,0,0.88,0,0.12,0.11,5
"6634031",0,0,0,1,0,0.09,4
"6634038",0,0,0,1,0,0.06,4
"6634108",0,0,0.98,0.02,0,0.08,5
"6634217",0,0,0,1,0,0.02,2
"6634530",0,0.16,0,0,0.84,0,1
"6634579",0,0.05,0.86,0.09,0,0.03,5
"6634839",0,0,0.78,0.22,0,0.06,5
"6637360",0,0,0,1,0,0.11,4
"6637692",0,0,0.85,0.15,0,0.02,5
"6638116",0,0,0,1,0,0.1,4
"6638238",0,0,0,1,0,0,2
"6638369",0,0,0.56,0.44,0,0.03,5
"6638646",0,0.56,0,0.44,0,0.08,3
"6638648",0,0.06,0.55,0.39,0,0.07,5
"6639039",0,0,0,0,1,0,1
"6639729",0,0,0,1,0,0,2
"6640637",0,0,0,0,1,0,1
"6640643",0,0,0,1,0,0.06,4
"6641115",0,0,1,0,0,0.12,5
"6641271",0,0,1,0,0,0.07,5
"6641272",0,0.06,0.74,0.14,0.06,0.09,5
"6641297",0,0,0,1,0,0.11,4
"6641445",0,0,0,1,0,0,2
"6641524",0,0.2,0.8,0,0,0.03,5
"6641598",0,0.14,0.81,0.03,0.02,0.09,5
"6641606",0,0.07,0,0.93,0,0.03,2
"6642006",0,0,0,1,0,0.08,4
"6642475",0,1,0,0,0,0,3
"6642723",0,0,0.66,0.31,0.03,0,5
"6642765",0,0,0,1,0,0.12,4
"6643005",0,0.88,0,0.12,0,0.01,3
"6643815",0,0,1,0,0,0.12,5
"6644002",0,0,0,0,1,0,1
"6644399",0,0,0.77,0,0.23,0.05,5
"6644884",0,0,0,0.34,0.66,0,1
"6645569",0,0.95,0,0.05,0,0.4,4
"6645819",0,0.4,0,0.6,0,0,2
"6646016",0,0,0,1,0,0.1,4
"6647356",0,0.05,0.21,0.69,0.05,0.04,2
"6647387",0,0.05,0,0.95,0,0.09,4
"6647586",0,0,0,1,0,0,2
"6647661",0,0.32,0,0,0.68,0,1
"6647671",0,0,0,0,1,0,1
"6647862",0,0,0,1,0,0,2
"6647865",0,0.01,0,0.99,0,0,2
"6647946",0,0,0,0.85,0.15,0,2
"6648003",0,0,0.94,0.06,0,0.01,5
"6648260",0,0,0,1,0,0.15,4
"6648591",0,0,0.99,0,0.01,0.27,5
"6648812",0,0,0,1,0,0,2
"6648950",0,0,0,1,0,0.06,4
"6649293",0,0,0,1,0,0,2
"6649524",0,0,0,1,0,0.14,4
"6649635",0,1,0,0,0,0,3
"6649888",0,0,0.94,0,0.06,0.09,5
"6650159",0,0,0,0,1,0,1
"6650845",0,0,0.85,0,0.15,0.13,5
"6650908",0,0,0.84,0,0.16,0.06,5
"6651082",0,0,0,0,1,0,1
"6651317",0,0.77,0,0.23,0,0,3
"6652298",0,0,0.63,0.37,0,0.05,5
"6652592",0,0,0,1,0,0,2
"6652884",0,0,0.91,0.09,0,0.07,5
"6652977",0,0,0,0,1,0,1
"6653312",0,0,1,0,0,0.1,5
"6653373",0,0,0.85,0,0.15,0.06,5
"6653412",0,0.19,0.56,0.25,0,0.11,5
"6653577",0,1,0,0,0,0.06,3
"6653613",0,0,1,0,0,0,5
"6653774",0,0,0,1,0,0,2
"6653902",0,0,0.92,0.01,0.07,0.04,5
"6654104",0,0,0,1,0,0,2
"6654163",0,0,0,1,0,0.02,2
"6654713",0,0,0,1,0,0,2
"6654806",0,0,0,1,0,0.14,4
"6654901",0,0,0,1,0,0,2
"6654975",0,0.09,0,0.91,0,0.09,4
"6655267",0,0,0,1,0,0.37,4
"6655688",0,0,0,1,0,0.09,4
"6655923",0,0,1,0,0,0.02,5
"6655961",0,0.12,0,0.88,0,0,2
"6655966",0,0,1,0,0,0.05,5
"6655972",0,0,1,0,0,0.11,5
"6656421",0,0.03,0.34,0.64,0,0.1,4
"6656942",0,1,0,0,0,0,3
"6657125",0,0,0,1,0,0.18,4
"6657273",0,0.74,0.21,0.05,0,0.02,3
"6657576",0,0.09,0.62,0.27,0.02,0.02,5
"6658017",0,0.1,0.83,0.07,0,0.07,5
"6658094",0,0,0,1,0,0.09,4
"6658278",0,0.01,0.19,0.8,0,0.08,4
"6658289",0,0.03,0.28,0.69,0,0.02,2
"6658328",0,0,0,0,1,0,1
"6658510",0,0,0,1,0,0.13,4
"6658668",0,0,0.55,0.44,0,0.17,4
"6659119",0,0.08,0.61,0.3,0,0.1,5
"6659338",0,0,0.75,0,0.25,0.05,5
"6659360",0,0,0,1,0,0,2
"6659373",0,0,0.92,0,0.08,0.04,5
"6660931",0,0.35,0,0.65,0,0.01,2
"6661024",0,0,0.87,0.13,0,0.03,5
"6661622",0,0,1,0,0,0,5
"6662238",0,0,0,1,0,0.03,2
"6662533",0,0.03,0.35,0.62,0,0.04,2
"6662536",0,0.08,0.92,0,0,0.11,5
"6662595",0,0,0,0,1,0,1
"6662808",0,0,0,1,0,0.02,2
"6662826",0,0,1,0,0,0.12,5
"6664972",0,0,0,0,1,0,1
"6665177",0,0,0.83,0,0.17,0.13,5
"6665204",0,0,0.59,0.3,0.11,0.08,5
"6665447",0,0,0,1,0,0.08,4
"6665644",0,0,0.78,0,0.22,0.09,5
"6665959",0,0,0.86,0,0.14,0,5
"6665977",0,0,0,1,0,0,2
"6666434",0,0,1,0,0,0.02,5
"6666440",0,0.76,0,0.24,0,0.03,3
"6666456",0,0,0,0,1,0,1
"6666849",0,0,0,0,1,0,1
"6666851",0,0,0,0,1,0,1
"6667179",0,0,0.59,0.38,0.03,0.09,5
"6667497",0,0,0,1,0,0.04,2
"6667665",0,0.2,0.63,0.17,0,0.09,5
"6667947",0,0,0,0.13,0.87,0,1
"6668172",0,0,0,0,1,0,1
"6668224",0,0,0,1,0,0,2
"6668400",0,0.02,0.47,0.51,0,0.04,5
"6668548",0,0.03,0.17,0.8,0,0.05,4
"6669240",0,0,0,1,0,0,2
"6669606",0,0,0,0,1,0,1
"6669868",0,0.62,0,0.38,0,0.02,3
"6670116",0,1,0,0,0,0,3
"6670271",0,0,0,1,0,0.06,4
"6670292",0,0,0,0,1,0,1
"6670450",0,0,0,1,0,0.05,2
"6670677",0,0,0.9,0,0.1,0.12,5
"6671097",0,0,0.4,0.6,0,0.02,2
"6671206",0,0,0,1,0,0.06,4
"6671381",0,0.02,0.8,0.17,0,0.03,5
"6671393",0,1,0,0,0,0.05,3
"6671591",0,0,1,0,0,0.15,5
"6672014",0,0,0,0,1,0,1
"6672509",0,0,0.58,0.36,0.05,0.06,5
"6672890",0,0,0,1,0,0.22,4
"6672897",0,0,0.7,0.3,0,0.12,5
"6673361",0,0,0.6,0.31,0.08,0.06,5
"6673376",0,0,1,0,0,0.12,5
"6673418",0,0,1,0,0,0.25,5
"6674896",0,0,0,1,0,0.1,4
"6675116",0,0.46,0,0.54,0,0.06,4
"6675303",0,0,0,1,0,0.23,4
"6675450",0,0,0.78,0.11,0.11,0,5
"6675879",0,0,0.91,0,0.09,0.12,5
"6676260",0,0,0,1,0,0.05,2
"6676303",0,0,0,1,0,0,2
"6676357",0,0,0,1,0,0.12,4
"6677208",0,0,0,1,0,0.07,4
"6677329",0,0,0,1,0,0,2
"6677750",0,0,0,1,0,0.05,2
"6678150",0,0,0,1,0,0,2
"6678339",0,0,0,1,0,0.05,2
"6678410",0,0,0.71,0.27,0.03,0.04,5
"6678960",0,0,0,1,0,0.09,4
"6679071",0,0,0.77,0.23,0,0.1,5
"6679097",0,0,0,1,0,0.12,4
"6680172",0,0,0,1,0,0.03,2
"6680252",0,0.61,0,0.39,0,0.02,3
"6680317",0,0,0.68,0,0.32,0.1,5
"6680506",0,0,0,0.94,0.06,0.03,2
"6680574",0,0,0.97,0.03,0,0,5
"6680772",0,0,0,0,1,0,1
"6680799",0,0,0.83,0.17,0,0.14,5
"6680950",0,0,0,0,1,0,1
"6681091",0,0,0.83,0,0.17,0.12,5
"6682072",0,0,0.91,0,0.09,0.09,5
"6682327",0,0.08,0.83,0.04,0.05,0.04,5
"6682611",0,0,0,1,0,0.15,4
"6682646",0,0,0.49,0.43,0.08,0.07,5
"6682763",0,0.32,0.14,0.54,0,0.08,4
"6684080",0,0,0.91,0,0.09,0.09,5
"6684317",0,0,0.95,0,0.05,0,5
"6684366",0,0,0,1,0,0,2
"6684814",0,0,0,1,0,0.06,4
"6685100",0,0,0,1,0,0.01,2
"6685670",0,0,1,0,0,0.09,5
"6685715",0,0,0,1,0,0,2
"6686611",0,0,0,0,1,0,1
"6686632",0,0,0,1,0,0.06,4
"6686690",0,0,0,0,1,0,1
"6686885",0,0.04,0.19,0.76,0,0.11,4
"6687010",0,0,0,1,0,0.2,4
"6687349",0,0,0.79,0.11,0.09,0.07,5
"6687433",0,0,1,0,0,0,5
"6687650",0,0,0,1,0,0,2
"6687810",0,0,1,0,0,0.1,5
"6687923",0,0,0.56,0.44,0,0.06,5
"6688111",0,1,0,0,0,0,3
"6688263",0,0.09,0,0.91,0,0.14,4
"6688372",0,0,0,1,0,0.07,4
"6688774",0,0,0,1,0,0,2
"6689072",0,0,0.97,0.03,0,0.08,5
"6689162",0,0,0,1,0,0.05,2
"6689342",0,0,0,1,0,0,2
"6689427",0,0,0,0,1,0,1
"6689439",0,0,1,0,0,0,5
"6690732",0,0,0,1,0,0,2
"6690947",0,0.08,0.75,0.14,0.04,0.07,5
"6691600",0,0.75,0.12,0.12,0.01,0.02,3
"6691609",0,0,0,1,0,0.13,4
"6691877",0,0,0,0,1,0,1
"6691938",0,0,0,1,0,0,2
"6693584",0,0,1,0,0,0.04,5
"6694768",0,0,1,0,0,0.29,5
"6695189",0,0,1,0,0,0.02,5
"6695332",0,0,1,0,0,0.08,5
"6695590",0,0,1,0,0,0.05,5
"6697546",0,0.55,0.21,0.14,0.1,0.02,3
"6697922",0,1,0,0,0,0,3
"6698645",0,0,0,1,0,0.11,4
"6698913",0,0,0,1,0,0,2
"6699178",0,0,0.77,0,0.23,0.1,5
"6699245",0,0,0,0,1,0,1
"6700049",0,0,0,1,0,0,2
"6700190",0,0,0,1,0,0,2
"6700956",0,0,0.98,0,0.02,0.05,5
"6701351",0,0.05,0.93,0.03,0,0.17,5
"6701523",0,1,0,0,0,0,3
"6701726",0,0,0.98,0.02,0,0.13,5
"6701961",0,0,0,0,1,0,1
"6701981",0,0,0,1,0,0,2
"6702181",0,0,0,1,0,0,2
"6702363",0,0,0,0,1,0,1
"6702531",0,0,0.62,0.34,0.04,0.01,5
"6702986",0,0,1,0,0,0.11,5
"6704136",0,0,1,0,0,0.24,5
"6704711",0,0,1,0,0,0.13,5
"6705120",0,0,1,0,0,0,5
"6705133",0,0,0,1,0,0.03,2
"6705333",0,0,0.94,0,0.06,0.1,5
"6706365",0,0,0,1,0,0.08,4
"6706416",0,0,0,1,0,0.12,4
"6707537",0,0,0,1,0,0.03,2
"6707572",0,0,0,1,0,0.1,4
"6708555",0,0,0,1,0,0.12,4
"6708744",0,0,0,1,0,0.05,2
"6708755",0,0.2,0,0.8,0,0.07,4
"6708829",0,0.32,0,0.68,0,0.1,4
"6709159",0,0,0,1,0,0.08,4
"6709414",0,1,0,0,0,0,3
"6709909",0,0,0,0,1,0,1
"6710138",0,0,0,1,0,0.15,4
"6710288",0,0,0.78,0.13,0.08,0.01,5
"6711169",0,0,0.88,0,0.12,0.14,5
"6711253",0,0,0,0,1,0,1
"6711323",0,0.03,0,0.97,0,0.17,4
"6711437",0,0,1,0,0,0.14,5
"6711494",0,1,0,0,0,0,3
"6711623",0,0,0,1,0,0.12,4
"6711685",0,0,0,0,1,0,1
"6711715",0,0,1,0,0,0.04,5
"6711857",0,0,0.79,0.2,0.01,0.05,5
"6711865",0,0,0.96,0.01,0.03,0.06,5
"6711960",0,0,0,1,0,0,2
"6712063",0,0,0.58,0,0.42,0.02,5
"6712202",0,0,0,1,0,0,2
"6712238",0,0,0,1,0,0.03,2
"6712510",0,0,0,1,0,0.1,4
"6712590",0,0,1,0,0,0.02,5
"6713241",0,0,0,1,0,0,2
"6713398",0,0,0,1,0,0.1,4
"6713656",0,0,0,1,0,0,2
"6714331",0,0,0.77,0.23,0,0.06,5
"6714372",0,0,0,1,0,0,2
"6714446",0,0,1,0,0,0.12,5
"6715339",0,0.89,0,0.11,0,0,3
"6715648",0,0.87,0,0.13,0,0,3
"6716228",0,0,0.89,0,0.11,0.04,5
"6716254",0,0.2,0.6,0.2,0,0.03,5
"6716497",0,0,1,0,0,0,5
"6716692",0,0,1,0,0,0.04,5
"6717412",0,0,0.93,0,0.07,0.13,5
"6717463",0,0,0.91,0,0.09,0,5
"6717464",0,0,0,0,1,0,1
"6717543",0,0,0,1,0,0.12,4
"6717762",0,0,0.87,0,0.13,0,5
"6717805",0,0,0.98,0,0.02,0.12,5
"6717809",0,0,0,1,0,0.12,4
"6717875",0,0,0.96,0,0.04,0.13,5
"6718117",0,0,0,1,0,0,2
"6718324",0,0,0,1,0,0,2
"6718741",0,0,0,1,0,0,2
"6718798",0,0,0,1,0,0.05,2
"6718969",0,0,0,0,1,0,1
"6719321",0,0,0,1,0,0.04,2
"6720261",0,0,0,1,0,0.08,4
"6720628",0,0,0,1,0,0,2
"6720863",0,0,0,1,0,0,2
"6720926",0,0,0,1,0,0.02,2
"6721190",0,0,0,1,0,0.09,4
"6721371",0,0.2,0.8,0,0,0.11,5
"6721415",0,0,0,1,0,0.01,2
"6721996",0,0,0.96,0.04,0,0.24,5
"6722085",0,0,0,0.65,0.35,0.08,4
"6722138",0,0,0.84,0.16,0,0.01,5
"6722152",0,0,0,0,1,0,1
"6722743",0,0,0,1,0,0.07,4
"6722921",0,0,0,1,0,0,2
"6723175",0,0,0.53,0,0.47,0,5
"6723397",0,0,0,1,0,0.1,4
"6723605",0,0,0.09,0.76,0.15,0,2
"6723627",0,0.83,0,0.17,0,0.04,3
"6723759",0,0,0,1,0,0,2
"6724839",0,0,1,0,0,0,5
"6726480",0,0,0,1,0,0.04,2
"6726504",0,0,0,1,0,0.12,4
"6726766",0,0,0,1,0,0.12,4
"6726767",0,0,0.72,0.28,0,0.06,5
"6727291",0,0,1,0,0,0.05,5
"6727512",0,0,0,1,0,0.01,2
"6728877",0,0,0,0,1,0,1
"6729036",0,0,0,1,0,0.09,4
"6729371",0,0,0.98,0,0.02,0.1,5
"6730309",0,0,0,1,0,0,2
"6730884",0,0.01,0.67,0.32,0,0.08,5
"6731039",0,0,0,1,0,0,2
"6731081",0,0,0,1,0,0,2
"6731086",0,0,0.47,0.46,0.07,0.06,5
"6731156",0,0,0,1,0,0.1,4
"6731218",0,0.21,0,0.79,0,0.07,4
"6731246",0,0,0,1,0,0,2
"6731454",0,0,0.95,0.05,0,0.03,5
"6731897",0,0.9,0,0.1,0,0.2,3
"6732126",0,0,0,1,0,0.1,4
"6732264",0,0.06,0,0.94,0,0.03,2
"6732318",0,0,0,0,1,0,1
"6732369",0,0,0,0,1,0,1
"6732388",0,0,0.39,0.61,0,0.03,2
"6732401",0,0,1,0,0,0.13,5
"6732498",0,0,1,0,0,0.04,5
"6732624",0,0,0,1,0,0.06,4
"6732794",0,0,0,1,0,0,2
"6733014",0,0.01,0,0.99,0,0.08,4
"6733036",0,0,0.67,0.33,0,0,5
"6733217",0,0.36,0.5,0.13,0.01,0.07,5
"6733972",0,0,0.89,0,0.11,0.09,5
"6734305",0,0,0,0,1,0,1
"6734432",0,0,0.84,0,0.16,0.08,5
"6734831",0,0,0,0,1,0,1
"6734901",0,0.03,0.88,0.02,0.08,0.04,5
"6735001",0,0.55,0.15,0.3,0,0.03,3
"6735311",0,0,0,0,1,0,1
"6735507",0,0,1,0,0,0.17,5
"6735693",0,0.08,0,0.92,0,0.12,4
"6735763",0,0,0.38,0.62,0,0.07,4
"6735768",0,0,0,1,0,0.08,4
"6736489",0,0,0,1,0,0,2
"6736501",0,0,0,0,1,0,1
"6737054",0,0.39,0,0.5,0.1,0.04,2
"6737431",0,0,0,1,0,0,2
"6737559",0,0,0,1,0,0,2
"6737812",0,0.49,0,0.51,0,0.07,4
"6737835",0,0,0,1,0,0.11,4
"6738006",0,0.2,0,0.8,0,0.03,2
"6738296",0,1,0,0,0,0.03,3
"6738346",0,1,0,0,0,0.01,3
"6738392",0,0,0,0,1,0,1
"6738954",0,0,1,0,0,0.12,5
"6739777",0,0,0,1,0,0.04,2
"6740906",0,0,0,1,0,0.12,4
"6741277",0,0.13,0.7,0.17,0,0.06,5
"6741300",0,0,0,0.89,0.11,0.07,4
"6741712",0,0,0,1,0,0.15,4
"6741982",0,0.63,0,0.37,0,0.07,3
"6742221",0,0,0,1,0,0.13,4
"6742414",0,0.38,0.21,0.39,0.02,0.01,2
"6742506",0,0,0,1,0,0.07,4
"6742515",0,0,0.08,0.91,0.01,0.1,4
"6742628",0,0,0,1,0,0.07,4
"6742906",0,0,0,1,0,0.05,2
"6742991",0,0,0.91,0,0.09,0.14,5
"6743182",0,0,0,0,1,0,1
"6743195",0,0,1,0,0,0.08,5
"6743302",0,0.75,0,0.25,0,0.02,3
"6743509",0,0,0,1,0,0.15,4
"6743684",0,0.04,0.51,0.45,0,0.07,5
"6744074",0,0,0,1,0,0,2
