"","Lubricantes","Neumaticos","Repuestos","Servicios","% Descuento","Frecuencia","$ Venta.y","Recencia","cluster"
"3256667",0,0,1,0,0.1,1,2662,986,5
"3259883",0,1,0,0,0.15,1,538816,854,4
"3262633",0,0,0,1,0,4,37394,948,1
"3265185",0,0,1,0,0,1,11756,916,5
"3268204",0,0,1,0,0.2,1,29446,907,5
"3269953",0,0,0,1,0,2,26052,964,1
"3269963",0.49,0.23,0.28,0,0.08,23,859583,553,3
"3270640",1,0,0,0,0.07,1,37200,1004,3
"3273946",0,0,1,0,0.03,4,186546,740,5
"3275032",0,0.94,0.01,0.05,0.04,3,185648,157,4
"3275188",0,0.14,0,0.86,0.01,83,795272,160,1
"3275635",0,0,0,1,0,18,138743,60,1
"3275870",0,0.7,0.1,0.2,0.07,6,188971,734,4
"3291164",0,1,0,0,0,2,21008,493,4
"3296754",0,0.48,0.38,0.14,0.05,26,935859,217,4
"3298086",0,1,0,0,0.04,1,772824,101,4
"3305356",0.27,0.56,0.17,0,0.1,4,416980,122,4
"3309248",0,0,1,0,0.17,2,24129,322,5
"3313410",0,0,1,0,0,2,13471,836,5
"3320590",0,0,1,0,0.14,17,1050841,217,2
"3322825",0.02,0.46,0.52,0,0.02,14,555669,95,4
"3324768",0.01,0.22,0.77,0.01,0.18,41,4969256,103,2
"3326817",0.9,0,0.1,0,0.02,3,125784,651,3
"3352464",0,0,1,0,0.08,4,69875,592,5
"3360477",0,0,1,0,0.12,3,188319,369,2
"3370197",0.61,0,0.21,0.18,0.05,27,420060,167,3
"3372864",0,0,1,0,0.16,30,2309498,147,2
"3379835",0,0,1,0,0,1,67311,399,2
"3381212",0,0.84,0,0.16,0,3,119059,963,4
"3382539",0,0,1,0,0,1,75614,1000,5
"3390495",0,0.87,0,0.13,0,3,154436,346,4
"3398280",0,0,1,0,0.03,13,246564,75,2
"3399007",0,1,0,0,0,1,1075560,82,4
"3415115",0,0,1,0,0.01,15,562093,338,2
"3415670",0,0,1,0,0,1,48655,877,5
"3417134",0,1,0,0,0.06,1,54488,124,4
"3419141",0,0,0.84,0.16,0,7,382798,163,2
"3430609",0.21,0,0.79,0,0.07,68,2036631,153,2
"3436924",0,0,0.06,0.94,0,4,58312,903,1
"3444294",0.07,0.9,0.02,0,0.12,14,3551082,164,4
"3451384",0,1,0,0,0.04,1,217800,101,4
"3456318",0,0.97,0,0.03,0,3,275798,990,4
"3457197",0.11,0.24,0.65,0,0.08,87,6287311,276,2
"3466885",0,0,1,0,0,4,36181,486,2
"3472381",0,0,1,0,0,1,248731,905,5
"3479146",0,0,1,0,0.1,1,3404,997,5
"3480111",0,0,1,0,0.2,3,24531,1019,5
"3485888",0,0,1,0,0.1,1,122407,987,5
"3500161",0,0,1,0,0.1,1,34147,787,5
"3502039",0.33,0,0.67,0,0.07,9,174675,423,2
"3503800",0,0,1,0,0,1,192429,690,2
"3505343",0,0,0,1,0,2,28403,151,1
"3506814",0.25,0.42,0.33,0,0.02,7,549515,880,5
"3509250",0,0.91,0,0.09,0.08,8,613519,115,4
"3510475",0,0,1,0,0.17,18,2551742,38,2
"3511093",0.25,0,0.67,0.08,0.01,63,1720736,62,2
"3520698",0,0.79,0.21,0,0.03,2,813380,234,4
"3522393",0,0,1,0,0,1,2580,1004,5
"3523298",0.31,0,0.69,0,0.09,7,299353,823,5
"3524624",0,1,0,0,0,1,15210,541,4
"3535949",0,0,1,0,0,1,35244,490,2
"3537646",0,1,0,0,0.08,4,337060,143,4
"3541667",1,0,0,0,0,1,105034,25,3
"3558527",0.02,0,0.98,0,0.01,18,1709996,404,2
"3567429",0,0,1,0,0,1,5026,42,2
"3568012",0,0.74,0.26,0,0.01,12,752235,692,4
"3571742",0.14,0.68,0.19,0,0.02,9,976423,508,4
"3572491",0,0,0,1,0,9,59246,405,1
"3575484",0.41,0,0.59,0,0,9,136197,635,2
"3582295",0.01,0,0.98,0.01,0.22,79,4641813,26,2
"3589389",0,0,1,0,0.12,1,10278,807,5
"3592016",0,0,1,0,0.02,5,64779,710,2
"3592780",0.57,0,0.43,0,0.02,8,52571,583,3
