"","Lubricantes","Neumaticos","Repuestos","Servicios","% Descuento","Frecuencia","$ Venta.y","Recencia","cluster"
"10120057",0,0,0,1,0,3,22605,158,1
"10120462",0,0,0,1,0,1,10252,472,1
"10121177",0,0,1,0,0,1,9378,801,5
"10121221",0,0.92,0.05,0.03,0.12,45,8779318,252,4
"10121334",0.03,0.42,0.56,0,0.05,32,2010154,110,2
"10121357",0,0,1,0,0.15,1,24843,45,2
"10121363",1,0,0,0,0,1,11756,154,3
"10121435",0.34,0,0.27,0.39,0,3,47043,188,3
"10121465",0.07,0.27,0.66,0,0.08,10,741857,377,2
"10121471",0,0.72,0.28,0,0.05,10,308351,147,4
"10121524",0,1,0,0,0.29,76,9698759,40,4
"10121714",0.29,0.23,0.44,0.04,0.04,5,292094,91,2
"10121873",0,0,0,1,0,3,58825,228,1
"10122606",0,0,1,0,0.06,2,144608,856,5
"10122881",0.02,0,0.89,0.09,0,9,765290,66,2
"10123017",0,0,0,1,0,1,12353,28,1
"10123248",0,0,1,0,0,1,10068,973,5
"10123358",0,0,1,0,0.03,9,167692,147,2
"10123710",0.18,0,0.82,0,0,4,187319,117,2
"10123875",0,0.91,0.02,0.07,0.07,11,1112915,147,4
"10123933",0,0.92,0.08,0,0.09,5,3322065,240,4
"10124223",0,0,1,0,0.12,11,146993,238,2
"10124829",0,0.84,0,0.16,0,7,345347,116,4
"10125281",0,1,0,0,0.14,1,224776,23,4
"10125422",0,1,0,0,0.29,65,26136595,48,4
"10125758",0.06,0.94,0,0,0.02,4,1172890,75,4
"10126244",0,0,1,0,0.14,3,60582,257,2
"10126542",0,0,0.91,0.09,0.01,19,629946,149,2
"10126551",0,0,1,0,0,1,13428,103,2
"10126571",0,0.87,0,0.13,0.1,3,106034,292,4
"10126605",0.01,0.66,0.34,0,0.08,12,957087,109,4
"10126766",0.15,0.8,0.06,0,0.01,11,542714,67,4
"10126988",0.68,0,0.32,0,0.02,5,106616,270,3
"10127897",0,1,0,0,0.04,2,254076,497,4
"10127922",0,0,1,0,0.05,3,33267,873,5
"10127975",0.55,0,0.45,0,0,3,83504,256,3
"10128164",0,1,0,0,0.04,1,121000,343,4
"10128412",1,0,0,0,0,1,11756,164,3
"10128501",0,0.83,0,0.17,0,6,225772,460,4
"10128886",0,1,0,0,0.06,3,102152,700,4
"10128931",0,1,0,0,0.08,2,267754,234,4
"10128944",0,0,1,0,0,5,112478,319,2
"10129004",0,1,0,0,0.04,1,86312,626,4
"10129050",0,1,0,0,0,1,1277240,546,4
"10129394",0.49,0,0.19,0.31,0.02,7,98775,331,3
"10129955",0,0,0,1,0,6,73444,741,1
"10130307",0,1,0,0,0,1,72816,933,4
"10130917",0,0,1,0,0.12,1,127059,747,5
"10131231",0.34,0,0.66,0,0,2,104537,879,5
"10131513",0,0,0,1,0,1,12436,265,1
"10132091",0,0.89,0.11,0,0.1,4,954631,385,4
"10132491",0,0,0,1,0,4,39580,251,1
"10133244",0,0,1,0,0,4,69648,714,2
"10133461",0,0,1,0,0.15,1,20322,756,5
"10133764",0.18,0.81,0.01,0,0.06,5,2127826,48,4
"10134233",0.08,0.92,0,0,0,2,310059,91,4
"10134318",0,0,1,0,0.09,2,19251,879,5
"10134360",0,0,1,0,0,1,26890,566,2
"10134412",0,0,1,0,0,1,126042,82,2
"10135032",0,0.83,0.1,0.07,0.02,13,626998,111,4
"10135391",0.02,0.34,0.6,0.04,0.04,47,1294552,245,2
"10135574",0,0,1,0,0.14,4,212940,644,5
"10135590",0,0,1,0,0,1,221512,847,5
"10135672",0.04,0.83,0.12,0,0.16,10,1570339,741,4
"10135686",0,0,1,0,0.07,4,49019,115,2
"10135863",0,0,1,0,0,3,351908,291,2
"10136103",0,0,1,0,0.03,5,28320,96,2
"10136339",0,0,1,0,0.1,1,12751,854,5
"10137119",0,0,1,0,0,3,7866,35,2
"10137172",0.04,0.13,0.83,0,0.09,29,1443029,62,2
"10137220",0,1,0,0,0.06,1,154815,270,4
"10137221",0,0.97,0,0.03,0.08,3,491473,79,4
"10137445",0,0,1,0,0.09,4,75540,399,2
"10137755",0,0.92,0,0.08,0.05,6,125892,766,4
"10138449",0,0,0,1,0,1,13444,24,1
"10138576",0,0,1,0,0,1,3151,819,5
"10139720",0,0,1,0,0,1,15378,740,2
"10139897",0,0.53,0.47,0,0.11,8,118814,808,5
"10139985",0,1,0,0,0.22,3,137603,836,5
"10140041",0,0,1,0,0.09,2,148971,187,2
"10140555",0,0.95,0,0.05,0.09,5,650975,154,4
"10140579",0,0,0.32,0.68,0.05,4,59108,158,1
"10140668",0,0,0,1,0,1,17227,948,1
"10140691",0.14,0.73,0.13,0,0.04,63,5558216,23,4
"10140726",0,1,0,0,0,1,484000,434,4
"10141334",0,0,0,1,0,1,11765,763,1
"10141391",0,0,1,0,0,1,82336,908,5
"10141462",0.79,0,0.21,0,0,6,160126,86,3
"10141656",0,0.34,0.64,0.02,0.11,5,323051,993,5
"10141675",0,0,1,0,0.07,2,21288,791,5
"10142086",0,0,1,0,0,2,23580,830,5
"10142173",0,0,0,1,0,1,12353,458,1
"10142179",1,0,0,0,0,1,34681,517,3
"10143116",0,0.71,0,0.29,0.1,5,99446,369,4
"10143200",0,0.91,0.04,0.05,0.04,11,1133459,136,4
"10143310",0,1,0,0,0.2,1,483996,83,4
"10143600",0,0,0,1,0,2,25209,902,1
"10144250",0,0.79,0.13,0.08,0.06,9,1408641,131,4
"10144421",0,0,0,1,0,4,38236,801,1
"10144447",0,0.97,0.01,0.02,0.02,6,1503294,136,4
"10144580",0,0.97,0,0.03,0.05,27,1051452,374,4
"10144856",0,0.47,0.51,0.02,0.09,114,6336045,24,2
"10145067",0.02,0.71,0.28,0,0.03,17,1915818,24,4
"10145096",0,0,1,0,0.13,19,968111,215,2
"10145123",0.22,0,0.78,0,0,3,157050,202,2
"10145177",0,0,1,0,0.11,4,318544,508,5
"10146009",0,0.25,0.75,0,0.04,39,2003860,100,2
"10146165",0,0,0,1,0,2,22437,676,1
"10146410",0.05,0.51,0.44,0,0.08,9,581601,33,4
"10146650",0.13,0.55,0.26,0.06,0.01,47,1837804,35,4
"10146720",0,0,0.33,0.67,0,5,45251,446,1
"10146937",0.48,0,0.04,0.48,0,4,52144,368,3
"10147038",0.06,0.92,0,0.01,0.05,5,1000375,48,4
"10147067",0,0,1,0,0.07,5,112933,452,2
"10148256",0,0.92,0,0.08,0.05,2,104490,1011,4
"10148461",0,0,1,0,0,1,277294,160,2
"10148494",0,0,1,0,0.15,1,98014,55,2
"10148594",0,0,0,1,0,1,14538,578,1
"10148632",0.45,0,0.55,0,0.05,28,860044,125,3
"10148764",0.72,0,0.28,0,0.02,9,305603,229,3
"10148849",0,0,1,0,0,2,42188,415,2
"10149085",0,0,1,0,0.06,3,1374,892,5
"10149298",0,1,0,0,0.09,2,93836,740,4
"10149305",0,0.89,0,0.11,0.13,4,259732,172,4
"10149349",0,0.76,0,0.24,0.11,4,145448,67,4
"10149363",0,0.94,0,0.06,0.19,10,209614,108,4
"10149380",0,0,0,1,0,3,26217,468,1
"10149437",0,0.95,0,0.05,0.1,3,122252,567,4
"10149460",0,0.96,0.04,0,0.05,3,310287,254,4
"10149516",0,0.62,0.38,0,0.09,20,1374536,282,4
"10149519",0,0.97,0,0.03,0.15,3,272182,824,4
"10149548",0,1,0,0,0.12,1,40644,866,4
"10149742",0.13,0,0.87,0,0.06,10,634593,401,2
"10149969",0,0,1,0,0.1,4,49098,189,2
"10150202",0,0,0.18,0.82,0.05,11,100605,333,1
"10150634",0,0,1,0,0.11,8,116998,669,5
"10150646",0.18,0,0.82,0,0.08,8,299247,133,2
"10151062",0.07,0,0.93,0,0.03,11,468011,831,5
"10151321",0,0,1,0,0.1,2,26140,924,5
"10151358",0,0,1,0,0,1,14294,860,5
"10151433",0.95,0,0.05,0,0,2,51370,158,3
"10151677",0.23,0,0.77,0,0.03,4,55875,333,2
"10151687",0.02,0.47,0.5,0,0.07,58,1463504,49,2
"10152422",0.1,0.43,0.35,0.11,0.02,32,1250380,75,4
"10152460",0,0,0,1,0,2,38656,850,1
"10152548",0.86,0,0.14,0,0,12,355174,504,3
"10152829",0,0,1,0,0.04,1,61303,292,2
"10152980",0.16,0.81,0.03,0,0.03,3,152809,961,4
"10153281",0,0,1,0,0.15,4,346356,443,5
"10153334",0,0,0,1,0,1,14538,415,1
"10153348",0,0,0,1,0,3,24959,293,1
"10153718",0,0,1,0,0,1,33596,884,5
"10155087",0,0,0,1,0,4,60502,117,1
"10155268",0,0,1,0,0,1,191571,101,2
"10155326",0,0.93,0.07,0,0.11,2,177313,67,4
"10155381",0,0,1,0,0,6,172510,315,2
"10155414",0.28,0.38,0.35,0,0.12,9,384831,213,2
"10155752",0,0,0,1,0,1,2858,803,1
"10156064",1,0,0,0,0,3,90731,376,3
"10156483",0,1,0,0,0,1,28983,616,4
"10156563",0.05,0.95,0,0,0.31,148,14980382,56,4
"10157293",0,0,1,0,0,1,6714,784,5
"10157481",0,0,0.16,0.84,0,3,41169,121,1
"10157640",0,1,0,0,0.04,1,67750,565,4
"10157719",1,0,0,0,0,2,58807,682,3
"10158029",0,0.7,0.3,0,0.05,10,737527,333,4
"10158064",0.3,0.61,0.09,0,0.03,11,1346667,39,4
"10158187",0.98,0,0.02,0,0,5,140184,441,3
"10158549",0,0,1,0,0,1,10824,565,2
"10158898",0,0.66,0.33,0,0.06,114,8422515,24,4
"10158967",0,0.97,0,0.03,0,2,117480,1020,4
"10159126",0,0,1,0,0,1,13294,861,5
"10159809",0,0,1,0,0,2,132895,510,2
"10160317",0,0.92,0,0.08,0.11,3,269210,133,4
"10160451",0,1,0,0,0.15,1,201812,930,4
"10160471",1,0,0,0,0,5,174092,69,3
"10160529",0,1,0,0,0.13,1,233688,910,4
"10160667",0,0,1,0,0,2,11581,423,2
"10160811",0.02,0.85,0.05,0.07,0.06,7,845750,172,4
"10160928",0.01,0.82,0.13,0.03,0.06,113,23608314,63,4
"10160998",0,0,1,0,0,1,52100,607,2
"10161253",0,0,0,1,0,5,66892,60,1
"10161895",0,0,1,0,0,1,13335,353,2
"10161936",0.46,0,0.54,0,0.06,21,386022,24,3
"10162014",0,0.75,0.25,0,0.09,13,989706,82,4
"10163246",0,0,1,0,0.08,1,9987,832,5
"10163273",0,0.95,0,0.05,0.16,4,146710,25,4
"10163313",0,1,0,0,0.05,1,314606,609,4
"10163361",0,0.55,0,0.45,0,3,25967,838,1
"10163477",0,0.97,0,0.03,0.12,3,469556,756,4
"10163550",0.01,0.52,0.45,0.02,0.1,64,6297734,48,4
"10163696",0.22,0.29,0.49,0,0.08,103,2902164,69,2
"10163972",0,0,0,1,0,1,6386,332,1
"10164165",0,0,1,0,0,1,9235,602,2
"10164213",0,0.35,0.65,0,0,3,411723,265,2
"10164374",0,0,0,1,0,1,13866,959,1
"10164670",0,0,1,0,0.06,11,211420,164,2
"10164891",0,0.97,0,0.03,0.11,6,598527,272,4
"10164960",0,1,0,0,0.04,2,774424,42,4
"10164985",1,0,0,0,0.05,1,41941,81,3
"10165014",0.06,0.44,0.5,0,0,9,656245,55,4
"10165131",0,1,0,0,0.04,1,143446,273,4
"10165163",1,0,0,0,0.03,4,266403,80,3
"10165176",0,0.93,0,0.07,0.07,4,236462,882,4
"10165335",0,1,0,0,0,1,144522,146,4
"10165338",0.23,0,0.77,0,0.06,12,648452,67,2
"10165610",0.28,0,0.72,0,0.07,9,295167,107,2
"10166238",0,0,1,0,0,1,11429,675,2
"10166301",0,0,0,1,0,3,25211,828,1
"10166563",0,0,1,0,0,1,27731,47,2
"10166658",0,0.94,0,0.06,0.14,3,353290,951,4
"10166662",0,0.68,0.32,0,0.04,9,1882364,133,4
"10166735",0,0,1,0,0.01,15,1991092,97,2
"10166781",0,0,0,1,0,2,19328,147,1
"10166835",0,0,1,0,0.05,1,12024,544,2
"10166901",0.11,0.84,0.03,0.02,0.01,20,2671675,174,4
"10166942",1,0,0,0,0.02,6,173665,51,3
"10167352",0,0,1,0,0,2,100748,91,2
"10168037",0.1,0.14,0.76,0,0.11,30,850987,143,2
"10168226",0,1,0,0,0.12,1,93766,698,4
"10168302",0,0.58,0.23,0.19,0.01,9,124340,28,4
"10168496",0,1,0,0,0,1,117630,704,4
"10168942",0,0,1,0,0,1,10076,192,2
"10169212",0,0,1,0,0,1,82236,376,2
"10169349",0,0.59,0,0.41,0.04,5,91413,304,4
"10169375",0,0,1,0,0.15,1,12575,595,5
"10169422",0,0.92,0.01,0.08,0.05,14,1338866,462,4
"10169556",0,0,0,1,0,2,16639,366,1
"10169568",0,0,0,1,0,1,9244,942,1
"10169576",0.02,0.38,0.58,0.01,0.17,17,170719,86,2
"10169634",0.08,0.14,0.78,0,0.14,20,784566,104,2
"10169663",0,0.59,0.41,0,0.07,2,70143,283,4
"10169667",0,0,1,0,0.12,1,2276,54,2
"10169879",0,0,1,0,0,5,193076,132,2
"10169970",0,0,1,0,0.16,5,105358,333,5
"10170788",0,0.77,0,0.23,0.05,3,52633,748,4
"10170804",0,0,1,0,0.08,2,53346,101,2
"10170897",0,0.78,0,0.22,0.04,4,82840,399,4
"10170921",0.57,0.2,0.23,0,0.05,41,1637904,83,3
"10171055",0,0,0,1,0,2,23865,755,1
"10171117",0,0,1,0,0,2,16630,655,2
"10171191",0,0.94,0,0.06,0.11,3,139546,957,4
"10171404",0.7,0,0.3,0,0,5,228957,313,3
"10171600",0,0.89,0,0.11,0.06,6,474590,612,4
"10171741",0.26,0,0.74,0,0,2,169731,63,2
"10171809",0,0.95,0,0.05,0.12,2,185734,763,4
"10171841",0,1,0,0,0.08,4,318492,536,4
"10171855",0,0,1,0,0,1,127613,1012,5
"10171859",0,0.95,0,0.05,0.04,5,823575,811,4
"10172179",0.03,0,0.97,0,0.09,21,1053044,171,2
"10172214",0,0,1,0,0.12,1,7283,67,2
"10172386",0,0.82,0,0.18,0.15,3,83164,154,4
"10172577",0.04,0.29,0.17,0.5,0,9,229857,255,1
"10172605",0.12,0.6,0.28,0,0.08,3,250444,585,4
"10172759",0,1,0,0,0.04,1,156488,60,4
"10173103",0,0.93,0,0.07,0.04,4,340075,445,4
"10173307",0,0,0,1,0,1,7563,779,1
"10173452",0,0.44,0.25,0.31,0.05,16,475088,75,4
"10173492",0,0,1,0,0.04,1,130681,572,2
"10173864",0,0,1,0,0.12,1,4137,910,5
"10174014",0,0.99,0.01,0,0.08,14,4676037,77,4
"10174283",0,0.95,0.05,0,0.18,26,2583115,53,4
"10174308",0,0.77,0,0.23,0.01,14,763727,385,4
"10174387",0,0.95,0,0.05,0.05,4,386320,220,4
"10174456",0.12,0.57,0.28,0.02,0.03,62,4556340,76,4
"10174528",0,0.85,0,0.15,0.15,4,268764,384,4
"10174692",0.31,0,0.69,0,0.03,5,116707,368,2
"10174801",0,0.84,0,0.16,0.04,4,196235,502,4
"10174904",0.06,0.94,0,0,0.06,2,731720,91,4
"10174999",0,0,1,0,0.06,2,42730,146,2
"10175194",0,0,1,0,0.12,1,50597,849,5
"10175246",0,0.88,0,0.12,0.11,6,273567,305,4
"10175315",0,0.87,0,0.13,0.11,8,442611,24,4
"10175493",0,1,0,0,0.1,1,108892,754,4
"10175538",0.12,0.71,0.14,0.03,0.03,31,3318547,73,4
"10175662",0,0,1,0,0,1,17639,262,2
"10175932",0,0,1,0,0,1,3630,583,2
"10176227",0,0,1,0,0,1,108028,933,5
"10176490",0,0,0.96,0,0,2,106715,28,2
"10176890",0,0,0.77,0,0,2,18294,220,2
"10176927",0,0.84,0,0.16,0,4,199731,702,4
"10177099",0,0,1,0,0,1,16798,419,2
"10177182",0.07,0.86,0.07,0,0.1,28,2135736,136,4
"10177203",0,0.91,0.07,0.02,0.05,9,686986,186,4
"10177410",0,0.75,0.19,0.05,0.06,44,7933728,38,4
"10177489",0.27,0,0.73,0,0.06,54,1180697,279,2
"10178148",0,1,0,0,0.07,1,25509,958,4
"10178608",0.72,0,0.28,0,0,3,46891,95,3
"10178711",0,0.82,0.18,0,0.05,8,160272,79,4
"10179150",0,0,1,0,0,1,8832,931,5
"10179397",0,0,1,0,0.1,1,12902,482,5
"10179654",0,0.97,0,0.03,0.06,4,778204,25,4
"10180065",0,0,1,0,0.06,1,63786,943,5
"10180073",0,0.94,0.06,0,0.04,4,623390,629,4
"10180592",0,0.94,0,0.06,0.03,3,191730,364,4
"10180652",0.05,0.5,0.44,0.01,0.02,17,595023,507,4
"10180714",0,0.89,0.07,0.04,0.06,6,1301160,153,4
"10181300",0,0,0,1,0,4,143023,157,1
"10181563",0,0,1,0,0.15,4,77338,983,5
"10181579",0,0,1,0,0.1,1,12169,242,2
"10181718",0,0,1,0,0.18,4,15538,994,5
"10181746",0,0,1,0,0,1,58740,322,2
"10181853",0.62,0,0.38,0,0.03,4,130376,668,3
"10182022",0,0.83,0.07,0.1,0.06,103,7038612,41,4
"10182144",0,0,1,0,0.01,5,186028,152,2
"10182175",0,0,1,0,0,6,392957,69,2
"10182179",0,0.99,0.01,0,0.03,4,1755804,159,4
"10182322",0.14,0,0.86,0,0.04,16,528085,46,2
"10182374",0,0,1,0,0.08,6,84782,949,5
"10182473",0,0.87,0.08,0.05,0.03,13,1325410,537,4
"10182487",0,0,0,1,0,1,13025,992,1
"10182547",0,1,0,0,0.12,1,74102,264,4
"10182561",0,0.92,0,0.08,0.04,6,756370,360,4
"10182591",0.77,0,0.23,0,0,3,53143,109,3
"10182753",0,0.94,0,0.06,0.12,5,232018,28,4
"10182962",0.26,0,0.74,0,0.07,4,36303,954,5
"10182986",1,0,0,0,0,6,159622,499,3
"10182992",0,0.94,0,0.06,0.08,2,147838,921,4
"10183195",0,0,0,1,0,4,68910,208,1
"10183698",0,0.88,0.12,0,0.04,5,291228,315,4
"10183953",1,0,0,0,0,3,154580,34,3
"10184692",0,0.62,0.35,0.04,0.04,7,660207,84,4
"10184752",0,0,1,0,0,1,9739,168,2
"10184809",0,0,0,1,0,1,9664,616,1
"10184847",0.11,0,0.89,0,0.16,21,527622,130,2
"10185303",0,0,0,1,0,3,18486,101,1
"10185373",0,0,1,0,0,1,115958,432,2
"10185378",0,0,0,1,0,9,70420,53,1
"10185442",0,0,1,0,0,2,70832,165,2
"10185513",0,1,0,0,0.04,1,596944,234,4
"10185874",0,0.95,0,0.05,0.13,2,120084,888,4
"10186121",0,1,0,0,0,1,44529,139,4
"10186168",0,0.82,0,0.18,0.04,16,513144,485,4
"10186334",0,0,0,1,0,3,17141,32,1
"10186409",0,0,1,0,0.1,9,178651,800,5
"10186446",0,1,0,0,0.05,1,41496,709,4
"10186712",0,1,0,0,0.12,2,231352,770,4
"10186837",0.79,0,0.11,0.09,0.02,5,167209,251,3
"10186838",0,1,0,0,0,2,336118,721,4
"10186882",1,0,0,0,0,1,35286,270,3
"10186945",0,0,0,1,0,1,12353,23,1
"10186996",0.14,0,0.86,0,0.04,12,419181,84,2
"10187078",0,0,1,0,0.1,1,7238,958,5
"10187137",0,0,1,0,0.03,3,48714,423,2
"10187247",1,0,0,0,0,1,19319,328,3
"10187260",0,0.61,0.39,0,0.11,7,578535,175,4
"10187308",0,0,0.78,0.22,0,3,85957,58,2
"10187422",0,0.91,0.09,0,0.19,4,194551,375,4
"10187510",0,0.92,0.08,0,0.14,6,498892,643,4
"10187531",0,0,0,1,0,1,12353,231,1
"10187741",0,0,0.78,0.22,0.15,9,467472,315,2
"10188105",0.14,0.73,0.13,0,0.04,8,798522,153,4
"10188412",0,1,0,0,0,1,144522,118,4
"10188770",0,0,0,1,0,2,28904,424,1
"10189004",0,0,0,1,0,1,12353,461,1
"10189588",0,0,1,0,0.08,17,1137620,23,2
"10189716",0,0.95,0,0,0,2,336103,147,4
"10189958",0,1,0,0,0.14,2,739866,843,4
"10190270",0,0,0,1,0,1,3529,850,1
"10190627",0.1,0.74,0.08,0.08,0.07,61,4567741,39,4
"10190663",0,0,1,0,0.18,8,30373,388,5
"10190712",0,0,0,1,0,1,16807,82,1
"10190783",0,0,1,0,0.1,13,415085,357,2
"10191037",0,0.92,0,0.08,0.11,3,99010,810,4
"10191053",0.01,0.37,0.62,0,0.1,31,2914710,185,2
"10191250",0,0.93,0,0.07,0,5,324892,934,4
"10191264",0,0,1,0,0,8,159804,313,2
"10191277",1,0,0,0,0,1,36966,152,3
"10191325",0.68,0,0.32,0,0.05,20,312787,502,3
"10191711",0,0.4,0.6,0,0.07,8,775018,416,2
"10191730",0,0,0.86,0.14,0,2,86368,531,2
"10191809",0,0,1,0,0.15,2,39461,577,5
"10192010",0,0.92,0,0.08,0.08,5,500938,621,4
"10192063",0.52,0.12,0.31,0.04,0.02,37,679621,241,3
"10192302",0.5,0.28,0.22,0,0.05,27,2153488,63,3
"10192314",0,0.76,0.24,0,0,2,1058718,229,4
"10192607",0,0,1,0,0,2,29982,670,2
"10192656",0.51,0.33,0.16,0,0,3,64394,731,3
"10192689",0,1,0,0,0,1,151244,404,4
"10192767",0,0,0,1,0,2,27731,243,1
"10193231",0,0,1,0,0,1,205026,24,2
"10194336",0,0.89,0.09,0.02,0.05,13,3801031,39,4
"10194494",0,1,0,0,0,1,12941,331,4
"10194552",0,0.88,0,0.12,0.08,4,113918,118,4
"10194723",0.26,0.46,0.28,0,0.11,20,859166,164,4
"10194962",0,1,0,0,0,2,1008368,39,4
"10194966",0.23,0,0.77,0,0.17,12,273170,902,5
"10194982",0,0,0.26,0.74,0,6,28763,338,1
"10195112",0,0,1,0,0.08,7,101496,595,5
"10195214",0,0,1,0,0,1,54706,481,2
"10195265",0,0,1,0,0,2,2680,490,2
"10195539",0,0,0,1,0,1,12353,250,1
"10195652",0,0.44,0.56,0,0.07,16,531665,272,2
"10195661",0,0,1,0,0,1,5286,969,5
"10195893",0.15,0.49,0.32,0.04,0.09,6,226548,123,4
"10195981",0,0,1,0,0,11,186431,55,2
"10196086",0,0,0,1,0,1,12353,187,1
"10196111",0,1,0,0,0.12,1,57328,793,4
"10196163",0,0,1,0,0,1,2202,77,2
"10196225",0,0.85,0.15,0,0,5,262277,135,4
"10196244",0,0,1,0,0,4,17261,139,2
"10196281",0,0,0,1,0,4,51093,672,1
"10196325",0,0,1,0,0.15,10,254448,970,5
"10196378",0.04,0,0.96,0,0.1,31,1643871,531,5
"10196792",0,0,1,0,0.09,4,232598,879,5
"10196865",1,0,0,0,0,2,40320,125,3
"10196903",0,0,0.88,0.12,0.13,6,106142,51,2
"10197806",0,0,1,0,0.1,1,194084,1005,5
"10198339",0.01,0.73,0.2,0.06,0.05,14,1178043,84,4
"10198361",0,1,0,0,0,2,166370,250,4
"10199158",1,0,0,0,0,3,107537,273,3
"10199176",0,1,0,0,0,1,6916,749,4
"10199213",0,0,1,0,0.07,38,846687,108,2
"10199486",0,1,0,0,0.05,2,497657,227,4
"10199756",0,0,0,1,0,2,38656,976,1
"10199951",0,0.67,0,0.33,0,4,57293,434,4
"10200232",0.24,0.16,0.56,0.04,0.04,17,330350,51,2
"10200397",0,0,0,1,0,2,5882,286,1
"10200399",0,1,0,0,0.05,3,609128,413,4
"10200484",0.1,0.86,0.05,0,0.06,12,1477914,129,4
"10200519",0,0,1,0,0,4,113311,224,2
"10200765",0,0,0,1,0,1,12353,632,1
"10200889",0.17,0,0.81,0.02,0.08,14,840167,23,2
"10201070",0,1,0,0,0,1,132756,382,4
"10201213",0,0,1,0,0.03,2,44228,593,2
"10201521",0.3,0,0.7,0,0,3,9386,327,2
"10201536",0,0.82,0,0.18,0,3,61210,1008,4
"10201686",0,0,1,0,0.12,1,59027,756,5
"10201768",0,0,0.64,0.36,0,3,18572,411,2
"10201868",0,0,0,1,0,1,12606,171,1
"10202067",0,0,1,0,0,3,4857,306,2
"10202226",0,0,1,0,0,1,19538,549,2
"10202931",0.01,0,0.99,0,0.13,120,4502904,223,2
"10202979",0,0.7,0,0.3,0.07,4,54487,839,4
"10203106",0,0,1,0,0.14,2,85269,564,5
"10203355",0,0,0.95,0.05,0.21,4,645944,345,5
"10203465",0,0.57,0.34,0.08,0.05,15,438358,130,4
"10204686",0.34,0,0.66,0,0,15,288941,26,2
"10205094",0,0.94,0,0.06,0,2,233925,102,4
"10205390",0,0,0,1,0,7,82689,410,1
"10206362",0,0,1,0,0,3,50395,60,2
"10206438",0.27,0,0.73,0,0.05,13,288156,25,2
"10206684",0,0.8,0.16,0.04,0.09,21,3161595,178,4
"10206705",0,0.94,0,0.06,0.1,7,435320,735,4
"10207180",0,0,0,1,0,2,19412,971,1
"10207444",0,0.18,0,0.82,0,7,117059,152,1
"10207709",0,0.73,0,0.27,0.14,7,142856,100,4
"10207779",0.67,0,0.33,0,0,8,158094,184,3
"10207875",0,0,1,0,0.02,4,86251,308,2
"10207940",0,0.92,0,0.08,0.04,3,281998,230,4
"10208200",0,0,0.66,0.34,0.03,5,140665,138,2
"10208251",0,0.93,0,0.07,0.14,2,47082,986,4
"10208299",0.04,0,0.96,0,0.04,35,1625415,282,2
"10208712",0,0,1,0,0,1,8386,143,2
"10209058",0,0.9,0,0.1,0.08,6,497194,122,4
"10209223",0,0,0,1,0,5,59660,152,1
"10209303",0.01,0.79,0.17,0.03,0.13,20,1745212,25,4
"10209322",0,0.9,0.1,0,0.05,3,993840,256,4
"10209620",0.09,0.71,0.19,0,0.1,116,14438730,34,4
"10209674",0,0.91,0,0.09,0.11,4,391449,357,4
"10209731",0,0,0,1,0,3,23109,164,1
"10209903",0,1,0,0,0.04,3,1575348,115,4
"10210182",0.58,0,0.42,0,0.03,7,168378,315,3
"10210212",0.4,0,0.26,0.34,0.02,20,193547,26,3
"10210290",0,0,1,0,0.07,10,207029,419,2
"10210371",0,0.92,0.07,0.01,0.05,21,6296344,229,4
"10210428",1,0,0,0,0,4,98286,229,3
"10210504",0,1,0,0,0.13,1,473164,906,4
"10210641",0,0,0,1,0,2,4538,697,1
"10210712",0.52,0.43,0,0.05,0.05,15,715633,56,3
"10210906",0,0,1,0,0,3,22824,208,2
"10210983",0,0,1,0,0,2,12252,79,2
"10211309",0,0.9,0,0.1,0,3,102429,677,4
"10211345",0.57,0,0.43,0,0.02,6,171690,373,3
"10211349",0,0,1,0,0,1,5462,178,2
"10211435",0,0,1,0,0,1,5647,563,2
"10211702",0,0,1,0,0,1,11639,1015,5
"10212623",0,0,1,0,0.15,2,275951,733,5
"10213173",0.03,0.28,0.69,0,0.11,122,5297573,42,2
"10213241",0,1,0,0,0,1,60488,567,4
"10213728",0,0,0,1,0,1,9664,637,1
"10213803",0,0,0,1,0,6,11705,133,1
"10214031",0,0,1,0,0.01,5,210166,370,2
"10214487",0,0.8,0,0.2,0.02,15,593749,144,4
"10215102",0,0,1,0,0,6,208903,756,2
"10215469",0,1,0,0,0.07,1,246424,405,4
"10215476",0,0,1,0,0,2,8336,24,2
"10215490",0,0.92,0.08,0,0.05,6,1219474,619,4
"10215507",0,0,1,0,0.15,1,14708,307,2
"10215583",0,0.95,0.05,0,0.11,4,1047190,752,4
"10215927",0,0,1,0,0,5,19883,82,2
"10216519",0,0,1,0,0.17,1,8571,846,5
"10216530",0,0.88,0,0.12,0,4,298840,935,4
"10216654",0,0.8,0,0.2,0.06,3,116071,977,4
"10216657",0,0,1,0,0.1,5,363566,615,5
"10216732",0,0,0,1,0,1,7059,353,1
"10216851",0.35,0,0.65,0,0.03,12,286058,59,2
"10216884",0,0,1,0,0,2,22664,264,2
"10217331",0,0,1,0,0.03,2,35833,108,2
"10217363",0.17,0,0.83,0,0,4,38612,558,2
"10217704",0,0,1,0,0.23,1,56753,1018,5
"10217730",0.24,0.12,0.64,0,0.03,18,806735,256,2
"10217866",0,0.91,0,0.09,0.09,4,220476,699,4
"10217948",1,0,0,0,0.05,1,29617,747,3
"10218225",0,0,0,1,0,1,12353,677,1
