"","Frecuencia","$ Margen","$ Venta","Recencia","cluster"
"9523624",9,29567,109673,222,1
"9523721",3,19157,41552,739,3
"9524309",4,47055,47059,130,2
"9524334",4,126384,460333,416,1
"9524526",40,375246,479867,28,2
"9524528",1,3576,12773,725,3
"9524651",12,62307,153991,517,3
"9524718",1,54102,110910,580,3
"9524743",1,7343,10101,915,4
"9524751",3,98386,391006,214,1
"9524777",7,212776,588074,147,2
"9524811",35,480100,1130684,32,2
"9524872",4,80680,133160,147,2
"9524914",2,17451,34419,1015,4
"9524959",1,12631,26421,277,1
"9524998",9,578826,1251811,251,1
"9525245",7,1010138,2934080,103,2
"9525326",1,5427,10022,103,2
"9525331",2,11929,26910,238,1
"9525388",12,374056,878131,34,2
"9525512",1,79708,171548,514,3
"9525522",1,15984,50394,219,1
"9525591",2,26610,44514,660,3
"9525656",1,33430,74858,732,3
"9526524",1,134736,311356,854,4
"9526541",2,193356,543218,298,1
"9526732",3,9160,14991,919,4
"9526748",2,19647,46253,566,3
"9526805",1,11426,11428,273,1
"9527004",57,2109709,7766180,52,2
"9527023",24,1165870,3421804,35,2
"9527079",20,303839,584782,74,2
"9527081",9,127160,528920,1018,4
"9527311",40,811189,1512615,39,2
"9527408",1,2449,3353,991,4
"9527610",1,31955,67225,738,3
"9527786",3,37134,83706,257,1
"9527839",4,165154,343254,168,2
"9527903",41,170160,633313,55,2
"9528064",29,575216,2624770,168,2
"9528215",1,16302,16303,284,1
"9528292",1,16808,16808,836,4
"9528356",1,8869,38655,926,4
"9528434",1,41106,107130,450,1
"9528504",4,200468,342824,108,2
"9528721",3,168206,951045,626,3
"9529065",13,411221,1305581,724,3
"9529408",1,5378,5378,622,3
"9529565",2,227370,640638,123,2
"9529657",18,486490,781973,90,2
"9529742",2,64222,103496,640,3
"9529964",2,89098,246018,88,2
"9529973",1,3610,8235,33,2
"9530018",1,4590,12597,308,1
"9530289",4,122560,322168,171,2
"9530421",1,12352,12353,315,1
"9530422",1,26654,111286,777,4
"9530488",1,8105,14402,969,4
"9530491",1,22750,41324,889,4
"9531644",6,200123,691130,74,2
"9531657",8,119429,323471,670,3
"9531852",1,18944,84025,129,2
"9532000",9,295962,952955,221,1
"9532082",1,21172,62176,61,2
"9533040",17,272497,578624,245,1
"9533123",3,31590,31595,390,1
"9533592",8,7298,9724,549,3
"9533695",15,119296,453643,301,1
"9534301",2,33310,88505,633,3
"9534337",16,222087,499441,74,2
"9534479",4,4044,12317,356,1
"9534619",42,6999257,28542055,69,2
"9535012",8,488198,1049112,105,2
"9535050",3,52669,96822,221,1
"9535155",14,290284,792153,270,1
"9535180",44,2322223,7819124,45,2
"9535311",1,91780,184860,109,2
"9535403",1,8127,33067,574,3
"9535416",1,2201,6286,791,4
"9535617",3,54736,118767,948,4
"9535649",2,58714,174746,613,3
"9535799",9,117217,280655,438,1
"9535994",12,339668,665203,126,2
"9536009",8,351668,888004,32,2
"9536094",4,18044,55420,598,3
"9536144",2,25126,25127,438,1
"9536423",68,1532271,3335913,25,2
"9536840",1,6671,30647,685,3
"9536850",87,1037665,2999812,39,2
"9537115",7,81058,199997,598,3
"9537372",1,5202,17622,68,2
"9537490",3,35373,35377,308,1
"9537880",1,13277,13277,522,3
"9537920",2,68328,261654,891,4
"9537957",4,77446,248206,934,4
"9538092",10,58556,143936,928,4
"9538431",15,332638,815224,748,3
"9538498",14,63857,97847,390,1
"9538514",85,1929801,4155951,42,2
"9538811",6,178469,433408,114,2
"9538886",2,42348,42352,866,4
"9539236",32,1023002,3619381,39,2
"9539323",1,80776,201666,214,1
"9539620",15,186231,256710,144,2
"9539656",1,2376,2933,945,4
"9539687",3,80330,130574,67,2
"9539798",2,18738,18739,412,1
"9539866",2,14068,80184,963,4
"9539993",4,11881,31185,110,2
"9540481",5,55545,55547,826,4
"9540736",2,21259,21260,53,2
"9540858",8,205406,459307,24,2
"9540876",11,213624,515113,831,4
"9540913",8,193557,524558,41,2
"9541029",1,235218,669832,353,1
"9541127",1,10840,10840,280,1
"9541129",1,13151,18492,868,4
"9541362",8,208898,613909,55,2
"9541536",8,220989,558446,208,1
"9541667",8,629510,2636551,76,2
"9542120",3,28908,55278,742,3
"9542147",11,202323,439255,480,3
"9542150",1,8483,39487,378,1
"9542215",1,10840,10840,391,1
"9542225",5,16802,31622,629,3
"9542369",238,18004461,60942889,54,2
"9542382",4,83890,260186,223,1
"9542399",33,394213,1069969,61,2
"9542435",5,39351,114220,775,4
"9542636",25,679140,1926786,55,2
"9542718",1,61382,201672,731,3
"9543244",13,129230,242035,234,1
"9543268",1,12501,57134,369,1
"9543598",3,13489,80882,327,1
"9543646",3,86525,303760,746,3
"9543733",5,72768,99977,171,2
"9543809",2,17814,17815,769,4
"9543835",2,4922,5042,34,2
"9543981",9,292059,692033,48,2
"9544176",7,47103,47309,250,1
"9544307",6,345219,1670065,124,2
"9544499",5,94655,309682,1003,4
"9544748",6,94928,215702,35,2
"9545323",2,34862,92420,770,4
"9545365",90,2538636,7374864,72,2
"9545483",9,137739,484806,227,1
"9545565",2,57028,145614,1001,4
"9545575",8,267390,765810,399,1
"9545714",2,110386,307222,978,4
"9545771",11,433356,1385046,93,2
"9545837",2,7053,12857,1006,4
"9545893",1,6932,9706,991,4
"9546078",2,14883,58983,444,1
"9546195",2,130429,344730,182,2
"9546461",3,142834,868555,413,1
"9546601",10,701662,1853691,137,2
"9546826",76,806853,2010384,61,2
"9546918",2,316804,700644,145,2
"9547128",1,28218,53002,964,4
"9547174",1,34730,84176,886,4
"9547903",3,60864,309138,208,1
"9548493",1,72302,144928,265,1
"9549350",1,160540,563144,874,4
"9549600",8,104706,130989,34,2
"9550114",1,74634,284354,125,2
"9550156",39,421808,1686298,26,2
"9550870",31,1231367,2654911,61,2
"9550934",1,18944,84025,62,2
"9550951",1,4621,4622,877,4
"9550954",6,185426,559833,173,2
"9551024",1,12772,21578,975,4
"9551367",6,343395,755030,202,1
"9551416",5,101312,370472,188,2
"9551500",7,352959,771377,657,3
"9551526",3,60168,60170,703,3
"9552031",4,49910,49915,252,1
"9552145",28,344815,966920,54,2
"9552201",1,4597,9189,489,3
"9552331",11,225963,504276,315,1
"9552911",3,55608,226176,930,4
"9552953",2,12790,30497,996,4
"9553167",1,17460,75510,958,4
"9553432",4,53152,184348,241,1
"9553501",3,151308,349884,185,2
"9553525",1,13956,84016,252,1
"9553806",2,46381,114680,74,2
"9553944",1,69963,319319,33,2
"9554811",1,16275,42129,234,1
"9555068",6,287846,743230,46,2
"9555413",3,47204,74678,748,3
"9555720",1,17805,58815,187,2
"9555729",2,22322,73933,269,1
"9555752",1,9836,72252,532,3
"9556129",61,4228808,15437017,67,2
"9556131",8,633684,1541646,35,2
"9557028",2,63162,110068,963,4
"9557969",1,28488,59146,152,2
"9558485",1,19663,19664,726,3
"9559005",11,47821,226840,368,1
"9559384",1,28569,58727,609,3
"9559647",2,31260,97462,635,3
"9559950",1,1966,12597,961,4
"9560154",3,67272,315916,79,2
"9560308",7,258206,730002,39,2
"9560524",4,237476,800420,221,1
"9560579",1,25374,67143,906,4
"9560580",1,90740,283950,264,1
"9560930",1,7022,11679,559,3
"9560983",5,51897,183151,77,2
"9560987",24,158049,388507,47,2
"9560990",7,81926,229290,153,2
"9561046",6,169936,330206,630,3
"9561291",2,73055,158962,1015,4
"9561308",2,44448,122024,878,4
"9561360",4,9102,12703,887,4
"9562253",2,14621,14622,986,4
"9562285",1,8740,8740,75,2
"9562394",7,19028,60395,266,1
"9562559",1,1369,3429,926,4
"9562611",7,10762,47163,45,2
"9562700",2,4316,11756,700,3
"9562802",2,53164,92436,35,2
"9562823",1,119908,255428,668,3
"9563025",5,30522,36722,294,1
"9563026",4,38902,38905,179,2
"9563266",179,4639742,13588136,26,2
"9563270",2,18403,18404,269,1
"9563378",40,610496,2106306,55,2
"9563444",1,24740,59689,655,3
"9563489",26,764526,2179999,272,1
"9563492",13,802682,2554204,185,2
"9563535",21,2496518,10625763,118,2
"9563811",4,346230,1095999,171,2
"9563814",1,33910,135874,592,3
"9563828",1,3760,9643,1013,4
"9564139",7,32551,82958,47,2
"9564296",17,321001,783732,67,2
"9564548",1,13363,23460,698,3
"9564601",1,11764,11765,896,4
"9564739",3,29824,86647,929,4
"9567800",4,91212,220340,299,1
"9568358",2,18216,30108,731,3
"9568482",1,56312,117358,815,4
"9568494",1,34082,65060,86,2
"9569044",1,30690,63567,132,2
"9569340",7,79776,81009,123,2
"9569363",3,117240,293118,353,1
"9569687",3,81774,186044,423,1
"9570067",2,15630,15630,971,4
"9570524",2,3947,8182,363,1
"9570773",17,432977,1231422,63,2
"9570793",1,14537,14538,138,2
"9571032",6,169376,311736,91,2
"9571519",1,9501,38008,724,3
"9571709",1,29191,93269,320,1
"9571935",2,27728,27731,665,3
"9572584",2,121653,455831,411,1
"9572592",17,236986,727069,98,2
"9573167",6,164494,308820,466,3
"9573326",14,80946,144383,685,3
"9573630",98,1854124,5830356,24,2
"9573819",2,14974,58814,677,3
"9575428",1,7227,27723,949,4
"9576430",1,11764,11765,976,4
"9577116",32,2806790,9443819,26,2
"9577497",3,37476,37478,118,2
"9577510",4,52240,82110,348,1
"9577964",7,81761,81765,66,2
"9578069",2,19624,40030,436,1
"9578555",1,13653,68748,738,3
"9579019",1,1867,3857,53,2
"9579906",4,31154,94168,756,3
"9579973",5,297387,681616,255,1
"9580520",1,7731,15958,63,2
"9580725",5,73121,126167,845,4
"9582022",8,71868,278125,377,1
"9582052",12,201107,409325,293,1
"9582287",23,465726,1846889,24,2
"9582409",1,22788,63857,111,2
"9583250",4,225634,871591,286,1
"9583589",3,60528,125094,300,1
"9584072",3,30111,93269,286,1
"9584552",24,363237,1223866,90,2
"9584559",2,2100,5286,109,2
"9584586",3,16156,29871,228,1
"9584655",2,9427,20277,416,1
"9585453",4,3437,8539,58,2
"9586027",1,1084,1832,45,2
"9586695",6,127988,435100,135,2
"9587305",1,9663,9664,250,1
"9590011",4,486928,1711972,303,1
"9590184",8,696286,2271745,231,1
"9590193",1,13865,13866,924,4
"9590440",4,11805,34621,819,4
"9590626",6,275338,536092,27,2
"9590740",1,10259,36966,465,3
"9590851",3,30651,65972,926,4
"9591154",28,4725602,17926439,34,2
"9591181",10,58415,120991,133,2
"9591297",1,3838,13428,139,2
"9591379",4,24384,24872,273,1
"9591530",1,11059,34025,940,4
"9591758",4,77218,181568,251,1
"9591792",3,24535,45753,608,3
"9592399",18,209888,293115,417,1
"9592629",5,43273,140589,651,3
"9592630",1,58700,130052,359,1
"9593579",2,17390,90823,1006,4
"9594495",5,36937,124555,215,1
"9594783",4,43975,113220,621,3
"9594998",7,749754,2577882,171,2
"9595919",1,45410,203244,977,4
"9595979",4,136512,246489,821,4
"9597407",1,15310,102437,803,4
"9598401",1,16626,40605,62,2
"9599244",4,88335,153427,195,2
"9599346",3,41756,109966,262,1
"9599588",3,28476,87156,135,2
"9599842",1,20551,40664,52,2
"9599979",6,30770,60227,283,1
"9602223",2,18813,85899,88,2
"9603128",2,84200,196700,47,2
"9603380",1,5091,9798,278,1
"9603526",1,3578,9189,950,4
"9604161",3,85068,147026,181,2
"9604307",1,1320,2908,532,3
"9604399",5,59092,85735,929,4
"9606581",1,55947,184866,598,3
"9606630",1,17226,17227,962,4
"9607022",32,244014,626794,161,2
"9607641",95,1998182,4018842,75,2
"9608418",1,10276,36958,25,2
"9608448",2,32771,32773,812,4
"9608486",25,340568,1036854,60,2
"9608828",1,7384,18479,299,1
"9609440",6,26081,81290,180,2
"9610059",1,86822,208118,228,1
"9613175",2,109982,362322,255,1
"9613201",4,126148,237208,691,3
"9614788",3,20701,42504,831,4
"9615068",1,692,1655,171,2
"9615087",1,13782,13782,129,2
"9616570",10,97951,147190,998,4
"9616603",2,39638,71412,591,3
"9616691",1,17719,33605,609,3
"9617112",6,12728,25387,110,2
"9618623",1,4477,10755,496,3
"9620184",8,243742,685244,171,2
"9620196",2,66658,141030,892,4
"9620569",5,60936,271637,46,2
"9620811",1,2126,3790,278,1
"9620839",3,59865,120125,671,3
"9621018",4,36760,135654,251,1
"9621061",3,95780,313580,124,2
"9621269",3,30386,53268,941,4
"9622551",6,36267,93504,100,2
"9622697",1,9243,9244,818,4
"9623408",3,25253,30747,117,2
"9623643",10,47651,147359,315,1
"9623767",6,441907,1683644,208,1
"9623802",1,6212,11791,615,3
"9624348",114,1902528,4478123,96,2
"9625164",1,7736,34445,370,1
"9625909",2,23484,76135,580,3
"9626013",1,19475,71559,905,4
"9626918",1,1652,8336,864,4
"9627378",4,36285,96321,733,3
"9627819",26,710819,2294217,200,2
"9628797",1,16806,16807,49,2
"9628855",1,15545,15546,919,4
"9628928",4,104836,252072,710,3
"9629438",2,332440,1098688,503,3
"9629649",1,20043,54360,880,4
"9629803",2,18278,79479,283,1
"9629843",1,35120,104168,56,2
"9630008",2,35063,156116,843,4
"9630512",1,1233,2473,164,2
"9630569",11,71695,205169,915,4
"9630665",2,6859,9966,669,3
"9631099",2,178276,483138,283,1
"9632083",4,595956,2382536,129,2
"9632126",16,123991,175043,105,2
"9632189",2,9836,18901,186,2
"9633147",1,11178,25194,536,3
"9633478",16,400529,789710,139,2
"9633581",4,440435,1781138,251,1
"9633920",1,175630,1125970,544,3
"9633950",6,79484,238797,420,1
"9634448",1,7609,16697,287,1
"9634450",3,59522,103378,439,1
"9634649",9,427668,1306263,34,2
"9634657",1,21630,21630,264,1
"9635159",13,86257,193424,185,2
"9635178",3,149272,322132,900,4
"9635481",3,49914,197644,980,4
"9635649",2,181586,427408,77,2
"9635732",7,421636,1479944,33,2
"9635905",1,33538,101142,1020,4
"9636013",1,2126,4084,970,4
"9636126",8,152267,374693,375,1
"9636353",1,8159,16476,972,4
"9636411",46,1195775,3166945,28,2
"9636468",2,40334,40337,551,3
"9636674",3,20587,20588,672,3
"9636689",5,226488,490870,75,2
"9636720",1,16302,16303,580,3
"9636880",8,90473,122054,259,1
"9636890",1,3138,13428,147,2
"9637016",3,245476,1003264,412,1
"9637247",3,39856,121259,549,3
"9637379",1,24660,50114,773,4
"9637878",43,1315470,3565226,97,2
"9638006",4,18616,18906,70,2
"9638091",1,195726,527544,279,1
"9638107",10,192538,502970,313,1
"9638154",1,6688,13647,130,2
"9638417",2,39965,111255,126,2
"9638583",3,65121,65124,884,4
"9638683",2,154296,290388,404,1
"9638869",1,603,6807,419,1
"9639074",1,5742,20142,56,2
"9639285",3,51018,233118,416,1
"9639412",36,1471304,4086167,69,2
"9639779",2,24872,24874,104,2
"9639903",2,93539,159008,809,4
"9640054",1,3122,6118,724,3
"9640092",2,61253,131527,52,2
"9640552",2,40334,40337,42,2
"9640578",1,10470,20160,248,1
"9640852",3,33021,93315,538,3
"9640958",2,18748,40320,105,2
"9641167",4,131208,303270,382,1
"9641350",7,45131,71157,276,1
"9641721",2,21092,21093,77,2
"9642645",4,60768,103346,363,1
"9642661",16,556469,1297347,220,1
"9642838",3,34591,113807,48,2
"9643563",3,13411,16534,616,3
"9643574",6,363340,979352,594,3
"9643575",14,128043,398839,258,1
"9644007",9,63727,201048,89,2
"9644026",1,3808,8890,794,4
"9644170",3,19727,45706,714,3
"9644583",1,2348,7816,377,1
"9644906",5,119926,202518,363,1
"9645082",3,185398,556286,115,2
"9645225",74,1630178,4795717,145,2
"9645417",11,295431,1182075,266,1
"9645432",1,2323,3807,503,3
"9645504",4,118502,359766,658,3
"9645550",2,14837,28883,461,1
"9645590",1,18796,37221,178,2
"9645659",2,65159,126225,808,4
"9645705",5,113755,181396,514,3
"9645707",2,11896,12436,431,1
"9646018",89,2134699,7474110,55,2
"9646312",2,69864,206894,649,3
"9646804",3,69724,203780,37,2
"9646997",3,59458,108051,936,4
"9647101",21,183040,657623,59,2
"9647113",1,10731,17630,824,4
"9647576",2,40334,40337,202,1
"9647880",2,24836,24840,632,3
"9647890",2,206496,506860,124,2
"9648054",21,506389,1640770,104,2
"9648232",2,25124,25125,436,1
"9648282",3,31608,58664,994,4
"9648674",2,4523,5127,770,4
"9648726",2,46286,97462,730,3
"9649108",15,398676,1090372,122,2
"9649289",4,58327,98803,880,4
"9649404",1,6879,24874,746,3
"9649448",2,4821,5462,354,1
"9649709",1,36090,76336,402,1
"9649805",5,63354,63360,375,1
"9649831",1,19407,67218,321,1
"9650088",32,430808,1258088,27,2
"9650134",3,47477,47480,25,2
"9650481",5,44625,167721,439,1
"9650512",2,35713,35714,741,3
"9651372",24,1022491,2015182,413,1
"9651521",1,10489,27723,102,2
"9652838",1,47755,146127,223,1
"9652994",1,4826,18908,755,3
"9653060",3,83666,156299,52,2
"9653413",2,156306,397462,58,2
"9654219",59,1650194,4054726,256,1
"9654300",1,22926,110614,980,4
"9654310",1,7034,14022,173,2
"9654358",2,46522,181496,168,2
"9655469",3,75350,300646,431,1
"9655502",1,155720,1065248,965,4
"9655544",5,48794,166640,180,2
"9656297",21,746116,2079404,59,2
"9656361",4,23286,45613,174,2
"9656500",5,41473,73144,158,2
"9656713",3,42652,117380,979,4
"9656921",4,50732,105762,777,4
"9657033",3,41147,151833,135,2
"9657274",1,50328,112174,107,2
"9657289",1,22644,89924,783,4
"9657314",23,156677,415867,27,2
"9657406",5,120928,216709,853,4
"9657588",6,130343,302790,287,1
"9657621",5,220192,783560,116,2
"9658089",3,215720,418228,40,2
"9658362",27,912088,2247296,138,2
"9658412",1,6050,6050,914,4
"9658414",2,39398,89862,922,4
"9658502",3,15035,67705,818,4
"9658558",1,1487,2622,536,3
"9658560",1,19017,45370,594,3
"9658571",2,68112,196508,961,4
"9658587",1,58971,124490,244,1
"9658648",3,182373,350158,294,1
"9658881",1,5462,5462,857,4
"9658901",1,68588,133092,264,1
"9658956",10,250630,599792,201,2
"9659066",1,15750,22960,642,3
"9659299",18,494133,1846415,24,2
"9659523",5,66711,135790,83,2
"9659543",3,83338,342658,675,3
"9659648",1,11764,11765,962,4
"9659792",1,19978,118479,509,3
"9660522",2,21174,21176,836,4
"9661318",2,1640,2840,1011,4
"9661334",1,10359,12832,465,3
"9663541",10,476028,1680439,145,2
"9663636",14,112896,227551,483,3
"9663759",1,2618,11748,392,1
"9664145",2,170326,310890,135,2
"9664581",1,71864,137798,327,1
"9665003",4,18408,55259,874,4
"9665875",3,26206,78731,537,3
"9666092",2,70586,134436,445,1
"9667364",1,4550,12597,293,1
"9667950",1,15545,15546,1014,4
"9668829",34,420172,1240864,61,2
"9668924",2,16789,38538,396,1
"9669193",1,6196,19478,130,2
"9669526",1,227238,579786,40,2
"9670001",2,36828,124049,504,3
"9670142",63,8067171,29217533,49,2
"9671009",1,164324,587264,608,3
"9671456",4,74748,134217,251,1
"9671477",1,70626,120795,299,1
"9671537",2,13496,61428,985,4
"9672259",1,19620,70572,341,1
"9672783",1,58801,112523,280,1
"9673028",1,25210,25210,1004,4
"9673154",1,4749,12597,350,1
"9673604",3,25456,49253,840,4
"9673705",3,172360,290352,243,1
"9673992",6,128868,246038,635,3
"9674088",11,175046,340190,454,1
"9674187",2,9491,35576,1020,4
"9674419",2,23529,23530,861,4
"9675242",6,27642,63486,38,2
"9675409",16,283213,952714,241,1
"9675493",1,12352,12353,286,1
"9675615",6,46711,180184,258,1
"9676032",1,2618,11748,402,1
"9676372",2,188894,713090,195,2
"9676765",3,93006,193596,425,1
"9677683",1,3336,6000,824,4
"9678202",6,54960,186387,181,2
"9679043",4,132963,231112,249,1
"9679361",30,631816,1496649,25,2
"9679586",5,184076,387694,161,2
"9679697",8,97730,163809,138,2
"9680287",1,9663,9664,559,3
"9680532",5,629260,1892104,236,1
"9681544",2,9081,29715,739,3
"9681765",3,25419,55705,47,2
"9681949",8,507034,1111782,109,2
"9681970",7,177272,310910,91,2
"9682045",16,263284,896043,346,1
"9682715",2,69234,118152,70,2
"9682826",4,35473,47034,585,3
"9683070",2,11836,12268,89,2
"9683150",1,14627,29572,35,2
"9683346",11,284196,718156,124,2
"9683773",19,1153402,3978612,238,1
"9684554",1,4478,7487,910,4
"9684844",2,31524,124016,536,3
"9684864",11,130133,246743,430,1
"9684993",16,543935,1636831,66,2
"9685025",2,30645,222520,866,4
"9685948",2,107642,394924,77,2
"9686044",1,15545,15546,921,4
"9686160",1,33560,96892,744,3
"9686222",16,213571,638705,27,2
"9686432",114,1941500,4903548,416,1
"9686545",3,36751,67826,101,2
"9686742",5,77774,118991,91,2
"9686786",5,72403,177547,362,1
"9687054",4,11594,11596,385,1
"9687250",2,86118,385488,647,3
"9687476",4,13356,109201,362,1
"9687865",1,55333,191588,280,1
"9688011",1,13865,13866,864,4
"9688110",4,140103,272539,612,3
"9688234",4,48146,48151,24,2
"9688240",3,53529,53530,979,4
"9688498",49,980702,2572162,47,2
"9688567",6,136453,355421,231,1
"9688898",14,643681,2047912,278,1
"9689282",1,13814,72252,709,3
"9689348",3,29472,76464,494,3
"9689626",5,34437,54062,266,1
"9689638",4,45026,88220,154,2
"9691070",2,32604,32606,237,1
"9691152",7,252640,786120,269,1
"9691333",83,1234689,3476898,55,2
"9691360",13,160793,292012,885,4
"9691492",2,46180,139434,930,4
"9692069",10,67726,280160,114,2
"9692127",7,147967,561578,117,2
"9692207",18,543095,1539412,241,1
"9692568",9,290726,555838,27,2
"9692905",2,11221,23724,308,1
"9692973",2,10443,12185,244,1
"9692977",2,321372,1375012,962,4
"9693123",1,17049,23319,590,3
"9693256",1,2913,13437,892,4
"9693272",1,34981,131487,74,2
"9693425",13,77304,132036,646,3
"9693751",4,154096,384210,278,1
"9693858",2,209184,418296,97,2
"9694279",4,363874,1336138,191,2
"9694321",2,2443,6204,243,1
"9694383",1,4676,25202,796,4
"9694434",1,56204,316124,829,4
"9694459",23,280905,800208,63,2
"9694485",4,178438,484447,234,1
"9694698",1,7816,38638,319,1
"9694735",16,519928,1432316,126,2
"9695102",21,800301,3005166,146,2
"9695165",1,8031,44529,81,2
"9695193",2,25086,92692,996,4
"9695404",3,328404,799021,48,2
"9695405",2,43911,144521,108,2
"9695418",6,100281,217532,419,1
"9695504",18,536072,1906467,598,3
"9695572",11,534546,2118196,40,2
"9695755",7,415313,1587415,110,2
"9695789",2,22249,60699,1001,4
"9696349",5,35709,64641,640,3
"9696423",1,36871,73438,140,2
"9696587",3,38802,66974,940,4
"9696597",1,9244,9244,983,4
"9696756",10,93576,332111,345,1
"9696796",26,757297,2308481,790,4
"9696824",1,79252,196456,835,4
"9696835",4,105619,284514,118,2
"9697269",2,19867,40055,79,2
"9697506",1,25630,59144,349,1
"9697696",1,21560,50743,650,3
"9697808",3,41927,41932,359,1
"9697855",2,22939,22941,248,1
"9697933",32,1855775,4257886,111,2
"9698065",1,7007,13437,311,1
"9698082",10,75107,223385,303,1
"9698263",1,3927,17622,374,1
"9698319",1,1570,4193,215,1
"9699272",4,78838,171586,824,4
"9699530",24,332829,1019318,75,2
"9700025",1,21116,84016,224,1
"9700397",1,19487,19487,46,2
"9700898",2,51919,171115,490,3
"9701663",4,65653,107294,214,1
"9702401",1,1873,5874,741,3
"9702681",3,39300,46681,679,3
"9703018",24,832885,2661367,44,2
"9703528",2,36553,36554,762,4
"9703658",1,65,1235,962,4
"9703970",1,11383,42429,252,1
"9705208",2,11684,23152,426,1
"9705290",1,551,5504,35,2
"9706751",2,2173,5025,212,1
"9707684",5,96104,226489,773,4
"9708592",6,394832,767716,76,2
"9709343",33,527420,1483553,81,2
"9710115",1,44688,111310,613,3
"9710594",8,209887,756362,208,1
"9713036",4,26003,78042,88,2
"9713410",30,562865,1828674,42,2
"9713551",11,81081,378785,341,1
"9713835",6,271824,516492,833,4
"9713837",3,54564,141462,585,3
"9713985",1,40104,135982,800,4
"9714278",5,38783,95453,405,1
"9715210",2,40334,40337,210,1
"9715351",1,68012,300920,991,4
"9715378",6,2643,5488,762,4
"9715496",55,5177645,20849819,171,2
"9715740",1,17682,48731,103,2
"9715814",9,588150,2294620,128,2
"9716311",1,5927,9076,833,4
"9716511",4,35589,63424,329,1
"9716719",2,2544,3782,997,4
"9716820",9,271669,1058128,68,2
"9717094",1,13192,13193,404,1
"9717203",2,23609,71420,111,2
"9717288",1,7670,38000,497,3
"9717369",3,55094,92572,110,2
"9717513",3,34120,35211,959,4
"9717620",20,339231,635214,502,3
"9718001",5,109856,407554,637,3
"9718032",1,2263,3966,319,1
"9718154",1,21007,21008,838,4
"9718175",2,17662,38052,27,2
"9718183",2,173968,303332,126,2
"9718204",6,69575,69580,111,2
"9718514",4,79601,148724,598,3
"9718763",2,19853,37622,74,2
"9719041",36,315412,640806,153,2
"9719407",2,20419,20420,588,3
"9719817",1,93092,174492,76,2
"9719818",1,12352,12353,454,1
"9722507",2,4145,4311,690,3
"9722704",2,22350,22352,24,2
"9722875",2,4891,4958,68,2
"9723025",2,11017,17857,271,1
"9723044",15,279315,1186715,27,2
"9723268",2,2997,5748,721,3
"9723346",1,30206,113639,581,3
"9723510",3,14256,23227,732,3
"9723549",38,618976,1663037,424,1
"9723557",5,49664,49666,367,1
"9723640",2,8952,14418,89,2
"9723708",4,93663,185616,418,1
"9723806",2,90655,165592,664,3
"9724119",1,9663,9664,623,3
"9724161",2,5934,10068,615,3
"9724398",2,25797,25798,746,3
"9724411",7,104254,173185,160,2
"9724420",6,178166,582690,76,2
"9724552",6,89379,216263,32,2
"9724565",2,108850,229044,193,2
"9724747",55,855921,1842244,82,2
"9724932",2,6575,11488,188,2
"9725074",2,28232,28235,28,2
"9725104",1,36972,73346,284,1
"9725115",1,46966,177464,684,3
"9725196",66,2465127,7292500,34,2
"9725290",4,25826,79606,972,4
"9725360",1,22122,109235,262,1
"9725405",3,94097,260665,54,2
"9725414",1,45933,129067,278,1
"9725816",9,135209,585000,105,2
"9725939",1,5312,8773,675,3
"9726044",4,10079,18125,566,3
"9726356",2,124104,464512,721,3
"9726421",5,44521,141808,447,1
"9726422",1,103976,252076,23,2
"9726571",8,41512,42267,109,2
"9726615",5,30390,102346,448,1
"9726656",21,426814,1148877,52,2
"9726720",6,265440,607630,168,2
"9726911",5,68304,158588,56,2
"9727379",1,6412,77294,307,1
"9727482",5,256910,831484,88,2
"9727551",1,6883,13437,334,1
"9727886",5,457010,1620255,33,2
"9727959",61,453972,1327153,46,2
"9728141",3,44079,114674,873,4
"9728186",4,25964,88790,100,2
"9728275",5,183321,454896,173,2
"9728415",4,30176,127697,357,1
"9728726",3,64117,119505,355,1
"9728905",6,133659,505994,35,2
"9729348",1,14537,14538,268,1
"9729624",1,29528,120976,1019,4
"9730314",17,231327,485040,40,2
"9732070",2,18998,39479,27,2
"9732137",5,23028,38047,404,1
"9732159",2,5132,10037,952,4
"9732226",10,20025,46914,490,3
"9732607",6,110961,548422,898,4
"9732791",23,336964,996090,70,2
"9732800",5,89948,152319,103,2
"9732971",2,25124,25125,240,1
"9733559",2,97732,221160,108,2
"9733750",25,287446,730098,39,2
"9733875",25,2260630,7979645,101,2
"9733929",7,318384,621988,129,2
"9734026",1,26677,85639,683,3
"9734124",1,33296,81530,980,4
"9734849",28,271862,829760,228,1
"9734968",11,379507,921337,129,2
"9735263",4,31386,58793,438,1
"9735539",2,3394,7176,684,3
"9735627",1,5616,10420,124,2
"9735856",24,428838,1261214,24,2
"9735860",1,13444,13444,98,2
"9735902",2,41995,80406,864,4
"9736307",10,35708,124437,24,2
"9736380",3,7664,7731,816,4
"9736449",3,40580,40585,105,2
"9736518",2,2150,7714,69,2
"9736559",2,23090,73932,194,2
"9737093",7,524481,1466855,165,2
"9737278",4,194935,445348,265,1
"9737356",8,162461,361586,51,2
"9737629",16,996456,2315149,144,2
"9737707",2,24367,24368,91,2
"9737795",1,39078,86521,977,4
"9737797",1,3844,6630,749,3
"9737816",7,240686,455395,329,1
"9738108",1,32966,66540,68,2
"9738244",52,469143,1303549,38,2
