"","BUS","CAMION","CHASIS CABINADO","MINIBUS","REMOLQUE","SEMIREMOLQUE","TAXIBUS","TRACTOCAMION","cluster"
"76239238",0,0.25,0,0,0,0.25,0,0.5,2
"76210831",0,0,0,0,0,0.5,0,0.5,2
"76195182",0,0.5,0,0,0,0,0,0.5,6
"76084018",0,1,0,0,0,0,0,0,1
"76321621",0,0,0,0,0.25,0.25,0,0.5,2
"76172069",0,0,0,0,0,0.5,0,0.5,2
"76045878",0,0.75,0,0,0.25,0,0,0,1
"76055629",0,0,0,0,0,0.5,0,0.5,2
"76198296",0,0.25,0,0,0.5,0.25,0,0,4
"76211446",0,0,0,0,0,0.5,0,0.5,2
"76330685",0,0.75,0,0,0,0,0,0.25,1
"76099927",0,0.75,0,0,0.25,0,0,0,1
"76046541",0,0.75,0,0,0,0.25,0,0,1
"76270698",0,0.75,0.25,0,0,0,0,0,1
"76164443",0,0,0,0,0,0.25,0,0.75,6
"76270814",0.5,0.25,0,0,0,0.25,0,0,3
"76257683",0,0,0,0,0,0.5,0,0.5,2
"76271117",0,0.25,0,0,0,0.5,0,0.25,2
"76260477",0,0.75,0,0,0.25,0,0,0,1
"76271178",0,0,0,0,0,0.75,0,0.25,2
"76167911",0,0.5,0,0,0,0.25,0,0.25,2
"76048617",0,0.75,0,0,0,0,0,0.25,1
"76083455",0,0.25,0,0,0.75,0,0,0,4
"76211935",0,0.75,0,0,0.25,0,0,0,1
"76267796",0,0.5,0,0,0,0.25,0,0.25,2
"76211978",0,0,0,0,0,0.5,0,0.5,2
"76109126",0,1,0,0,0,0,0,0,1
"76271665",0,0.75,0,0,0,0.25,0,0,1
"76310686",0,0.25,0,0,0,0.5,0,0.25,2
"76212360",0,1,0,0,0,0,0,0,1
"76158093",0,0.25,0,0,0,0.5,0,0.25,2
"76212447",0,1,0,0,0,0,0,0,1
"76040433",0,0.25,0,0,0.25,0.25,0,0.25,2
"76172197",0,0.5,0,0,0,0.25,0,0.25,2
"76194118",0,0.5,0.25,0,0.25,0,0,0,4
"76212652",0.75,0,0,0.25,0,0,0,0,3
"76316804",0,0.25,0,0,0.25,0.25,0,0.25,2
"76172434",0,0,0,0,0,0.75,0,0.25,2
"76320202",0,0.25,0,0,0.75,0,0,0,4
"76172467",0,0,0,0,0,0.5,0,0.5,2
"76196396",0,1,0,0,0,0,0,0,1
"76140930",0,0,0.25,0,0.5,0.25,0,0,4
"76244596",0,0,0,0,0,0.5,0,0.5,2
"76072112",0,0.5,0,0,0.5,0,0,0,4
"76245380",0,1,0,0,0,0,0,0,1
"76273344",0,0.75,0,0,0,0.25,0,0,1
"76197678",0,0,0,0,0,0.5,0,0.5,2
"76172931",0,0,0,0,0,0.75,0,0.25,2
"76247720",0,1,0,0,0,0,0,0,1
"76273534",0,0.5,0,0,0.5,0,0,0,4
"76028152",0,0.25,0,0,0,0.25,0,0.5,2
"76273603",0,1,0,0,0,0,0,0,1
"76199131",0,0.75,0.25,0,0,0,0,0,1
"76214280",0,0,0,0.25,0,0.75,0,0,2
"76162794",0,0.5,0,0,0.5,0,0,0,4
"76062703",0.25,0.5,0,0.25,0,0,0,0,1
"76200215",0.75,0,0,0.25,0,0,0,0,3
"76024182",0,1,0,0,0,0,0,0,1
"76134473",0,0.75,0,0,0,0,0,0.25,1
"76274423",0,0,0,0,0,0,0,1,6
"76253962",0,1,0,0,0,0,0,0,1
"76214732",0,0.5,0.25,0,0.25,0,0,0,4
"76340079",0,0,0,0,0,0.25,0,0.75,6
"76274628",0,1,0,0,0,0,0,0,1
"76114307",0,1,0,0,0,0,0,0,1
"76173223",0,0,0,0,0,0.25,0,0.75,6
"76257872",0,0.25,0.25,0.25,0.25,0,0,0,4
"76214913",0,0.25,0,0,0,0.5,0,0.25,2
"76346991",0,0.5,0,0,0.5,0,0,0,4
"76275103",0,0,0,0,0,0.25,0,0.75,6
"76260745",0,0.5,0,0,0.25,0.25,0,0,4
"76038048",0,0.5,0,0,0.25,0.25,0,0,4
"76205848",0,0,0,1,0,0,0,0,7
"76275323",0,0.5,0.25,0,0.25,0,0,0,4
"76206569",0,0.25,0.25,0,0.25,0.25,0,0,4
"76100656",0,0.5,0,0,0,0.5,0,0,2
"76169119",0,0.5,0.25,0,0,0.25,0,0,5
"76100714",0,1,0,0,0,0,0,0,1
"76266976",0,1,0,0,0,0,0,0,1
"76032430",0,0,0.5,0,0,0.25,0,0.25,5
"76062176",0,0.75,0,0,0.25,0,0,0,1
"76276075",0,0,0,0,0,0.5,0,0.5,2
"76077327",0,0.25,0,0,0.25,0.25,0,0.25,2
"76276116",1,0,0,0,0,0,0,0,3
"76156249",0,0.25,0,0,0.75,0,0,0,4
"76063189",0,0.75,0.25,0,0,0,0,0,1
"76030821",0,1,0,0,0,0,0,0,1
"76141853",0.5,0.5,0,0,0,0,0,0,3
"76091340",0,0,0,0.75,0.25,0,0,0,7
"76141909",0.5,0,0,0,0,0.5,0,0,2
"76052669",0,0.75,0,0.25,0,0,0,0,1
"76141959",0,0.25,0.25,0,0.25,0,0,0.25,4
"76128638",0,0.5,0,0,0,0.25,0,0.25,2
"76216848",0,1,0,0,0,0,0,0,1
"76237806",0,1,0,0,0,0,0,0,1
"76032446",0.75,0,0,0.25,0,0,0,0,3
"76110173",0,0.25,0,0,0,0.25,0,0.5,2
"76277149",0,0,0,0,0,0.75,0,0.25,2
"76313844",0,0.25,0,0,0.25,0.25,0,0.25,2
"76042886",0,0.25,0.25,0,0,0.25,0,0.25,2
"76078184",0,0.75,0,0,0,0,0,0.25,1
"76174947",0,0.75,0.25,0,0,0,0,0,1
"76129982",0,0.75,0.25,0,0,0,0,0,1
"76101448",1,0,0,0,0,0,0,0,3
"76060818",0,0.75,0,0,0.25,0,0,0,1
"76072662",0,1,0,0,0,0,0,0,1
"76079226",0,0.5,0.5,0,0,0,0,0,5
"76143192",0,0.5,0.5,0,0,0,0,0,5
"76195334",0,0,0,0,0,0.5,0,0.5,2
"76175561",0,0,0,0.25,0,0.5,0,0.25,2
"76195530",0,1,0,0,0,0,0,0,1
"76025886",0,0.5,0.25,0,0,0.25,0,0,5
"76243773",0,1,0,0,0,0,0,0,1
"76217661",0,0,0,0,0,0.5,0,0.5,2
"76160801",0,0,0,0,0,0.5,0,0.5,2
"76119956",0,0.75,0,0,0.25,0,0,0,1
"76197134",0.5,0.25,0,0.25,0,0,0,0,3
"76029295",0,1,0,0,0,0,0,0,1
"76197352",0,0.75,0,0,0.25,0,0,0,1
"76278551",0,0,0,0,0,0.75,0,0.25,2
"76245300",0,0,0,0,0,0,0,1,6
"76101913",0,0.75,0,0,0.25,0,0,0,1
"76111990",0,0.5,0,0,0,0.25,0,0.25,2
"76278673",0,0.5,0.25,0,0,0,0,0.25,5
"76131076",0,0.75,0,0,0.25,0,0,0,1
"76279354",0,0.75,0.25,0,0,0,0,0,1
"76247425",0,0,0,0,0.25,0.5,0,0.25,2
"76176311",0,0,0,0,0,0.75,0,0.25,2
"76326450",0,0.25,0,0,0.25,0.25,0,0.25,2
"76279608",0,1,0,0,0,0,0,0,1
"76092543",0,0.75,0,0,0.25,0,0,0,1
"76143639",0,0.25,0,0,0.25,0.25,0,0.25,2
"76079400",0.5,0,0,0.5,0,0,0,0,3
"76176764",0,1,0,0,0,0,0,0,1
"76249761",0,0,0,0,0,0.5,0,0.5,2
"76219665",0,0,0,0,0,0.25,0,0.75,6
"76330106",0,0.75,0.25,0,0,0,0,0,1
"76219838",0.75,0,0,0.25,0,0,0,0,3
"76330568",0,0.25,0,0,0,0,0,0.75,6
"76143934",0,0.5,0,0,0,0,0,0.5,6
"76093812",0,0.5,0,0,0.5,0,0,0,4
"76102005",0,0.5,0,0.25,0,0.25,0,0,1
"76331915",0,0.5,0.25,0,0.25,0,0,0,4
"76102133",0,0.5,0,0,0,0.25,0,0.25,2
"76035364",0,0,0,0,0,0.5,0,0.5,2
"76085866",0,0.25,0,0,0,0.5,0,0.25,2
"76251176",0,0.5,0,0,0.5,0,0,0,4
"76177878",0,1,0,0,0,0,0,0,1
"76133653",0,0,0,0,0,0,0,1,6
"76049374",0,0.25,0.25,0,0.5,0,0,0,4
"76081337",0,0.75,0,0,0,0,0,0.25,1
"76121207",0,0.25,0,0,0,0.25,0,0.5,2
"76337485",0,0,0,0,0,0.5,0,0.5,2
"76121249",0,0.5,0,0,0.5,0,0,0,4
"76338762",0,0.75,0,0,0.25,0,0,0,1
"76280577",0,0.5,0.25,0,0,0,0,0.25,5
"76134889",0,0.5,0,0,0,0.25,0,0.25,2
"76024196",0,0.25,0,0,0.25,0.25,0,0.25,2
"76202564",0,0.75,0.25,0,0,0,0,0,1
"76121432",0,0,0.5,0,0.5,0,0,0,5
"76081906",0,0,0,0,0,0.75,0,0.25,2
"76102549",0,0,0,0,0.25,0.5,0,0.25,2
"76203328",0,0.25,0.25,0,0.5,0,0,0,4
"76221349",0,0.25,0,0,0,0.5,0,0.25,2
"76343905",1,0,0,0,0,0,0,0,3
"76280878",0,0,0,0,0,0.5,0,0.5,2
"76021951",0,0.5,0,0,0,0.25,0,0.25,2
"76121497",0,1,0,0,0,0,0,0,1
"76082086",0,0,0,0,0,0.75,0,0.25,2
"76178614",0.5,0,0,0.5,0,0,0,0,3
"76347296",0,0,0,0,0,0.25,0,0.75,6
"76049683",0,1,0,0,0,0,0,0,1
"76260552",0,0.75,0,0,0,0,0,0.25,1
"76025937",0,0.5,0.25,0,0.25,0,0,0,4
"76061548",0,0.75,0,0,0,0,0,0.25,1
"76221961",0,0,0,0,0,0.25,0,0.75,6
"76025284",0,0,0,0,0,0.5,0,0.5,2
"76281062",0,0.5,0,0,0.5,0,0,0,4
"76116241",0,0.75,0,0,0,0,0,0.25,1
"76145550",1,0,0,0,0,0,0,0,3
"76168168",0.75,0,0,0.25,0,0,0,0,3
"76281428",0,0.25,0,0,0,0.5,0,0.25,2
"76207118",0,0.75,0.25,0,0,0,0,0,1
"76121919",0,0,0,0,0,0.5,0,0.5,2
"76353237",0,0.75,0,0,0.25,0,0,0,1
"76086379",0,1,0,0,0,0,0,0,1
"76207855",0,0,0,0,0,0.5,0,0.5,2
"76145875",0,0.75,0,0,0,0,0,0.25,1
"76354290",0,0.75,0,0,0.25,0,0,0,1
"76222326",0,0,0,0,0,0.5,0,0.5,2
"76355721",0,0.75,0,0,0.25,0,0,0,1
"76146035",0,0,0,0,0,0.75,0,0.25,2
"76357186",0.75,0,0,0.25,0,0,0,0,3
"76057890",0,0.25,0,0.25,0.25,0.25,0,0,4
"76358430",0,0.5,0,0,0.5,0,0,0,4
"76073736",0,1,0,0,0,0,0,0,1
"76268076",0,0,0,0,0,0.5,0,0.5,2
"76222586",0,0.25,0,0,0.25,0.5,0,0,2
"76309273",0,0.75,0,0,0.25,0,0,0,1
"76282723",0,0,0,0,0,0.5,0,0.5,2
"76108995",0,1,0,0,0,0,0,0,1
"76073934",0,1,0,0,0,0,0,0,1
"76235011",0,0.75,0.25,0,0,0,0,0,1
"76283690",0,1,0,0,0,0,0,0,1
"76192201",0,0,0,0,0.25,0.5,0,0.25,2
"76086787",0,0,0,0,0,0.75,0,0.25,2
"76310479",0,0.25,0,0,0.5,0.25,0,0,4
"76065101",1,0,0,0,0,0,0,0,3
"76109422",0,0,0.25,0,0.25,0.25,0,0.25,2
"76284276",0,0.75,0.25,0,0,0,0,0,1
"76109731",0.25,0.75,0,0,0,0,0,0,1
"76180861",0,1,0,0,0,0,0,0,1
"76310902",0,0,0,0,0,0.25,0,0.75,6
"76018404",0,0,0,0,0,0.5,0,0.5,2
"76192962",0,0,0,1,0,0,0,0,7
"76146887",0,0.25,0,0.5,0,0.25,0,0,7
"76027388",0,0.25,0,0,0.75,0,0,0,4
"76026121",0,0.75,0,0,0,0,0,0.25,1
"76128659",0,0.5,0,0,0.5,0,0,0,4
"76285008",0,0,0,0,0,0.5,0,0.5,2
"76109925",0,0.5,0,0,0.5,0,0,0,4
"76103898",0,1,0,0,0,0,0,0,1
"76312724",0.25,0,0,0.75,0,0,0,0,7
"76285173",0,0.5,0,0,0.5,0,0,0,4
"76313376",0,0,0,0,0,0.75,0,0.25,2
"76087589",0,0.5,0,0,0,0.25,0,0.25,2
"76060117",0,0,0,0,0,0.25,0,0.75,6
"76147164",0,0.25,0,0,0,0.5,0,0.25,2
"76129679",0,0.25,0.25,0,0.25,0.25,0,0,4
"76147533",0,0,0,0,0,0.25,0,0.75,6
"76027462",0,0.5,0.25,0,0,0.25,0,0,5
"76223831",0,0.25,0.5,0,0,0.25,0,0,5
"76314344",0,0.75,0.25,0,0,0,0,0,1
"76285727",0,0.25,0,0,0,0,0,0.75,6
"76017954",0.25,0,0,0.5,0.25,0,0,0,7
"76285729",0,0.25,0,0,0,0,0,0.75,6
"76239485",0,0.75,0,0,0,0.25,0,0,1
"76016144",0,0.25,0,0,0,0.5,0,0.25,2
"76130023",0,0,0,0,0,0.75,0,0.25,2
"76147779",0,0,0,0,0,0.75,0,0.25,2
"76160177",0,0,0,0,0.5,0.25,0,0.25,4
"76148580",0,0.25,0,0,0,0.25,0,0.5,2
"76316460",0,0,0,0,0.25,0.5,0,0.25,2
"76224730",0,1,0,0,0,0,0,0,1
"76130295",0,0,0,0,0,0.5,0,0.5,2
"76288064",0.5,0,0,0.5,0,0,0,0,3
"76241683",0,1,0,0,0,0,0,0,1
"76288552",0,0.25,0,0,0,0.5,0,0.25,2
"76242403",0,0,0,0,0,0.75,0,0.25,2
"76024669",0,0,0,0,0,0.5,0,0.5,2
"76319820",0,0.25,0.25,0,0,0,0,0.5,6
"76224851",0,1,0,0,0,0,0,0,1
"76242787",0,0.25,0.25,0,0,0.25,0,0.25,2
"76224898",0,1,0,0,0,0,0,0,1
"76021750",0,0.5,0,0,0.25,0.25,0,0,4
"76224901",0,0,0,0,0,0.5,0,0.5,2
"76320902",0,0.25,0.25,0,0.25,0.25,0,0,4
"76039546",0,0,0,0,0,0.5,0,0.5,2
"76195823",0,0.5,0,0,0,0.5,0,0,2
"76225679",0,0.25,0,0,0.25,0.5,0,0,2
"76130747",0,0.5,0,0,0,0.5,0,0,2
"76065857",0,1,0,0,0,0,0,0,1
"76130818",0,0,0,0,0,0.5,0,0.5,2
"76074358",0,0.25,0,0,0.25,0.25,0,0.25,2
"76196769",1,0,0,0,0,0,0,0,3
"76149383",0,0,0,0,0,0.75,0,0.25,2
"76244590",0,0.75,0,0,0,0.25,0,0,1
"76066008",0,0,0,0,0,1,0,0,2
"76111616",0,1,0,0,0,0,0,0,1
"76226293",0,0.25,0.25,0,0.5,0,0,0,4
"76322529",0,0.25,0,0,0,0.25,0,0.5,2
"76294878",0,0,0,0,0,0.25,0,0.75,6
"76322733",0,0.25,0,0,0.25,0.25,0,0.25,2
"76044328",1,0,0,0,0,0,0,0,3
"76323625",0,1,0,0,0,0,0,0,1
"76226341",0,0.5,0,0,0,0.25,0,0.25,2
"76324004",0,0.25,0,0,0,0.25,0,0.5,2
"76295168",0,0,0,1,0,0,0,0,7
"76324132",0,1,0,0,0,0,0,0,1
"76105367",0,0,0,0,0,0.25,0,0.75,6
"76245856",1,0,0,0,0,0,0,0,3
"76149885",0,1,0,0,0,0,0,0,1
"76324659",0,0,0,0,0,0.75,0,0.25,2
"76123801",0,0.75,0,0,0.25,0,0,0,1
"76197886",0,0.25,0,0,0.5,0,0,0.25,4
"76226842",0,0,0.25,0,0.25,0.25,0,0.25,2
"76325721",0,1,0,0,0,0,0,0,1
"76184841",0,0,0,0,0,0.5,0,0.5,2
"76031255",0,0.5,0,0,0.5,0,0,0,4
"76296525",0,0,0,0,0,0.5,0,0.5,2
"76326474",0,0.75,0,0,0.25,0,0,0,1
"76226913",0,0.75,0.25,0,0,0,0,0,1
"76131461",0,0,0,0,0,0.5,0,0.5,2
"76297152",0,0.5,0,0,0.5,0,0,0,4
"76327077",0,0,0,0,0,0.5,0,0.5,2
"76024801",0,0.75,0,0,0,0.25,0,0,1
"76069032",0,0,0,0,0,0.5,0,0.5,2
"76044539",0,0,0,0,0,0.5,0,0.5,2
"76248992",0,0.5,0,0,0.5,0,0,0,4
"76075046",0,0.25,0.25,0,0.5,0,0,0,4
"76249090",0,0.5,0,0,0,0.25,0,0.25,2
"76124247",0,0,0,0,0,0.75,0,0.25,2
"76198653",0,0,0,0,0,0.5,0,0.5,2
"76024864",1,0,0,0,0,0,0,0,3
"76330066",0,0.5,0,0,0.25,0.25,0,0,4
"76059085",0,0.25,0,0,0,0,0,0.75,6
"76198813",0,0.75,0.25,0,0,0,0,0,1
"76299527",0,0.5,0,0,0.5,0,0,0,4
"76250371",0,0,0,0,0,0.5,0,0.5,2
"76185278",0,0.5,0,0,0,0.25,0,0.25,2
"76080078",0,0.5,0,0,0,0.25,0,0.25,2
"76299895",0,0,0.5,0,0.5,0,0,0,5
"76330869",0,0.5,0,0,0,0.25,0,0.25,2
"76040024",0,0.75,0,0,0.25,0,0,0,1
"76330881",0,0.5,0,0,0,0.25,0,0.25,2
"76300206",0,0,0,0,0,0.5,0,0.5,2
"76094059",0,0.75,0,0,0,0,0,0.25,1
"76075512",0,0.5,0,0,0.5,0,0,0,4
"76199999",0,1,0,0,0,0,0,0,1
"76151304",0,0,0.25,0,0.25,0.25,0,0.25,2
"76333343",0,0.5,0.5,0,0,0,0,0,5
"76040051",0,0,0,0,0,0.25,0,0.75,6
"76163482",0,0.5,0,0,0.25,0.25,0,0,4
"76300878",0,0.25,0,0,0.25,0.25,0,0.25,2
"76334378",0,0,0,0,0,0.75,0,0.25,2
"76228232",0,0,0,0,0,0.5,0,0.5,2
"76200305",0,0,0,0,0,0.5,0,0.5,2
"76151677",0,0,0,0,0,0.5,0,0.5,2
"76061347",0,0,0,0,0,0.5,0,0.5,2
"76027065",0,0.25,0.5,0,0,0.25,0,0,5
"76069764",0,0.5,0,0,0.5,0,0,0,4
"76301912",0,0,0,0,0,0.25,0,0.75,6
"76336582",0,0.25,0,0,0.5,0,0,0.25,4
"76051505",0,0.5,0.25,0,0.25,0,0,0,4
"76253060",1,0,0,0,0,0,0,0,3
"76106939",0,0,0.25,0,0.75,0,0,0,4
"76201463",0,0.25,0,0,0,0.5,0,0.25,2
"76152198",0,1,0,0,0,0,0,0,1
"76164307",0,1,0,0,0,0,0,0,1
"76152224",0,0.25,0,0,0,0.25,0,0.5,2
"76095906",0,1,0,0,0,0,0,0,1
"76152316",0,0,0.25,0,0.5,0.25,0,0,4
"76338981",0,0.25,0.25,0,0.5,0,0,0,4
"76303184",0,0,0,0,0,0.5,0,0.5,2
"76339710",0,0,0,0,0,0.5,0,0.5,2
"76186966",0,0.5,0,0,0,0.25,0,0.25,2
"76081851",0,0.5,0,0,0.5,0,0,0,4
"76016396",0,0,0.25,0,0.25,0.25,0,0.25,2
"76255443",0,0.25,0,0,0.25,0.25,0,0.25,2
"76126008",0,1,0,0,0,0,0,0,1
"76341143",0,0.5,0,0,0,0.5,0,0,2
"76034017",0,1,0,0,0,0,0,0,1
"76359489",0,0,0,0,0,0.25,0,0.75,6
"76126168",0,0.5,0,0,0.5,0,0,0,4
"76165290",0,0.5,0,0,0.5,0,0,0,4
"76153690",0,1,0,0,0,0,0,0,1
"76256851",1,0,0,0,0,0,0,0,3
"76303520",0,0.25,0,0,0.75,0,0,0,4
"76257572",0,1,0,0,0,0,0,0,1
"76076244",0.5,0,0,0.5,0,0,0,0,3
"76257756",0,0.5,0,0,0,0.25,0,0.25,2
"76052056",0,1,0,0,0,0,0,0,1
"76203532",0,1,0,0,0,0,0,0,1
"76303946",0,0,0,0,0,0.75,0,0.25,2
"76203568",0,0.25,0.25,0,0.5,0,0,0,4
"76188293",0,0.75,0.25,0,0,0,0,0,1
"76136359",0,1,0,0,0,0,0,0,1
"76230566",0,0,0,0,0,0.75,0,0.25,2
"76166108",0,0.25,0,0,0.75,0,0,0,4
"76126408",0,0.25,0,0,0.25,0.25,0,0.25,2
"76031509",0,0.5,0.5,0,0,0,0,0,5
"76304651",0,0,0,0,0,0.5,0,0.5,2
"76204276",0,0,0,0,0,0.5,0,0.5,2
"76231072",0,0.5,0.5,0,0,0,0,0,5
"76204316",0,0.25,0,0,0,0.5,0,0.25,2
"76305051",0,0.75,0,0,0.25,0,0,0,1
"76347915",0,0.5,0,0,0.5,0,0,0,4
"76231107",0,0.5,0,0,0.5,0,0,0,4
"76349068",0,0.75,0,0,0,0,0,0.25,1
"76059660",0.25,0.5,0,0.25,0,0,0,0,1
"76260954",0,1,0,0,0,0,0,0,1
"76188512",0,1,0,0,0,0,0,0,1
"76028227",1,0,0,0,0,0,0,0,3
"76090742",0,0.75,0.25,0,0,0,0,0,1
"76262103",0,0.25,0,0,0,0.25,0,0.5,2
"76154515",0,1,0,0,0,0,0,0,1
"76037143",0,0.5,0,0,0.5,0,0,0,4
"76231879",0,0.5,0.5,0,0,0,0,0,5
"76206102",0,1,0,0,0,0,0,0,1
"76306134",0,0,0,0,0,0.75,0,0.25,2
"76082845",0.5,0,0,0.5,0,0,0,0,3
"76076531",0.25,0.75,0,0,0,0,0,0,1
"76352145",0,0.5,0.25,0,0.25,0,0,0,4
"76306257",0.75,0,0,0.25,0,0,0,0,3
"76264074",0,0.25,0,0,0,0.25,0,0.5,2
"76306743",0,0.5,0.25,0.25,0,0,0,0,5
"76168324",0,1,0,0,0,0,0,0,1
"76154678",0,1,0,0,0,0,0,0,1
"76017075",0,1,0,0,0,0,0,0,1
"76067508",0,1,0,0,0,0,0,0,1
"76083447",1,0,0,0,0,0,0,0,3
"76155721",0.25,0,0,0,0,0.25,0,0.5,2
"76207531",0.5,0,0,0.5,0,0,0,0,3
"76126906",0,0,0,0,0,0.5,0,0.5,2
"76266253",0,0,0,0,0,0.25,0,0.75,6
"76190583",0,0.5,0.25,0,0,0.25,0,0,5
"76207980",1,0,0,0,0,0,0,0,3
"76155888",0,0.25,0,0.25,0,0.25,0,0.25,2
"76028787",0,1,0,0,0,0,0,0,1
"76233176",0,0.5,0,0.5,0,0,0,0,1
"76037542",0,1,0,0,0,0,0,0,1
"76090882",0,0.5,0,0,0,0.25,0,0.25,2
"76017352",1,0,0,0,0,0,0,0,3
"76308235",0,1,0,0,0,0,0,0,1
"76267110",0,0.5,0,0,0.5,0,0,0,4
"76233385",0,0.5,0,0,0.5,0,0,0,4
"76356390",0,0.25,0,0.75,0,0,0,0,7
"76191034",0,0,0.25,0,0.5,0,0,0.25,4
"76099068",0,0,0,0,0,0.75,0,0.25,2
"76233490",0,1,0,0,0,0,0,0,1
"76358079",0,0.5,0.25,0,0.25,0,0,0,4
"76067684",0,0,0,0,0,0.5,0,0.5,2
"76209347",0,1,0,0,0,0,0,0,1
"76234048",0,0.25,0,0,0.25,0.25,0,0.25,2
"76359477",0,0,0,0,0.25,0.5,0,0.25,2
"76308747",0,0,0.25,0,0.5,0.25,0,0,4
"76191182",0,0.5,0,0.5,0,0,0,0,1
"76188450",0,1,0,0,0,0,0,0,1
"76003250",0,1,0,0,0,0,0,0,1
"15973875",0,0.75,0,0,0.25,0,0,0,1
"15550508",0,0.25,0,0,0.25,0.25,0,0.25,2
"16150706",0.5,0,0.5,0,0,0,0,0,5
"70002300",0,0.75,0,0.25,0,0,0,0,1
"15676560",0,0.25,0.25,0,0.5,0,0,0,4
"17491903",0.5,0,0,0.5,0,0,0,0,3
"16166180",0,0.5,0,0,0.5,0,0,0,4
"15952088",0,0,0,0,0,0.75,0,0.25,2
"17660667",0,0.25,0,0,0,0.25,0,0.5,2
"14521290",0.75,0,0,0.25,0,0,0,0,3
"15093655",1,0,0,0,0,0,0,0,3
"76000285",1,0,0,0,0,0,0,0,3
"16181512",0,1,0,0,0,0,0,0,1
"14562462",0,0,0.5,0,0.5,0,0,0,5
"16183560",0,0.5,0,0,0,0.25,0,0.25,2
"17561199",0.25,0,0,0.5,0,0,0,0.25,7
"15278322",0,0,0,0.25,0,0.25,0,0.5,2
"16727776",0,0.25,0,0,0.75,0,0,0,4
"15299118",1,0,0,0,0,0,0,0,3
"14496598",1,0,0,0,0,0,0,0,3
"16191218",0,0.75,0,0,0.25,0,0,0,1
"14511549",1,0,0,0,0,0,0,0,3
"15701329",0,0.25,0.75,0,0,0,0,0,8
"17035098",1,0,0,0,0,0,0,0,3
"15718023",0,0.25,0.5,0,0.25,0,0,0,5
"17119725",0,0.25,0,0.75,0,0,0,0,7
"16199206",0,0.25,0.25,0,0.5,0,0,0,4
"17247056",1,0,0,0,0,0,0,0,3
"17778706",0.75,0,0,0.25,0,0,0,0,3
"15230268",0.25,0,0,0.75,0,0,0,0,7
"15718605",0.75,0,0,0.25,0,0,0,0,3
"76007474",0,1,0,0,0,0,0,0,1
"17794776",0,0.5,0,0.5,0,0,0,0,1
"14571175",0.25,0.5,0,0.25,0,0,0,0,1
"16214638",0.25,0,0,0.75,0,0,0,0,7
"17612321",0.75,0,0,0.25,0,0,0,0,3
"15095938",0,0.75,0,0,0,0,0,0.25,1
"14474720",0,0.75,0.25,0,0,0,0,0,1
"17806604",0,0,0,0,0,0.5,0,0.5,2
"16728307",0,0,0,0,0,0.75,0,0.25,2
"17815006",0,0.25,0,0,0,0.5,0,0.25,2
"15953919",0,0.75,0,0,0,0,0,0.25,1
"17821203",0,0.25,0,0,0,0.25,0,0.5,2
"16817566",0,0.5,0,0,0.5,0,0,0,4
"16217761",0,0,0,0,0,0.5,0,0.5,2
"16842009",0,0,0,0,0,0.5,0,0.5,2
"17845012",0,0,0,0,0,0.5,0,0.5,2
"14513155",0,0.25,0.25,0.25,0.25,0,0,0,4
"17872534",0,0.5,0,0,0.5,0,0,0,4
"15996458",1,0,0,0,0,0,0,0,3
"17875758",0,0.5,0.25,0,0.25,0,0,0,4
"69254000",0.25,0.75,0,0,0,0,0,0,1
"14381287",0,0.75,0,0,0.25,0,0,0,1
"17071415",0,0.5,0,0,0,0.25,0,0.25,2
"17882178",1,0,0,0,0,0,0,0,3
"72762500",0.25,0,0,0.75,0,0,0,0,7
"16218559",0,0.25,0,0,0.5,0,0,0.25,4
"16037218",0,0,0,0,0,0.75,0,0.25,2
"17894479",0,0,0,0,0.25,0.25,0,0.5,2
"14394280",0,0.25,0,0,0,0.5,0,0.25,2
"15300252",1,0,0,0,0,0,0,0,3
"15229446",0,0.5,0,0,0.5,0,0,0,4
"15490327",0,0,0,0,0,0.5,0,0.5,2
"15232183",0,0.5,0,0,0,0.25,0,0.25,2
"16227591",0,0,0.5,0,0.5,0,0,0,5
"15633467",0,0.75,0,0,0,0.25,0,0,1
"16227982",0,0,0,0,0,1,0,0,2
"17454400",0,0.25,0,0,0.5,0,0,0.25,4
"18144180",0,0.25,0,0,0.5,0,0,0.25,4
"15654498",0,0.75,0,0,0,0.25,0,0,1
"18145001",0,1,0,0,0,0,0,0,1
"76010321",0,0.5,0.25,0,0,0,0,0.25,5
"15040267",0,0.75,0.25,0,0,0,0,0,1
"76011773",0,0.5,0.5,0,0,0,0,0,5
"16239415",0,0.5,0.25,0,0.25,0,0,0,4
"14460256",1,0,0,0,0,0,0,0,3
"18182257",0,0.25,0,0,0.25,0.25,0,0.25,2
"15155751",0,0.5,0,0,0.25,0,0,0.25,4
"18191580",0,0.25,0,0,0.5,0.25,0,0,4
"16706619",0,0,0,0,0,0.5,0,0.5,2
"18196817",1,0,0,0,0,0,0,0,3
"14484861",0,0,0,0,0,0.5,0,0.5,2
"15300678",1,0,0,0,0,0,0,0,3
"15165262",0,0.5,0,0,0.5,0,0,0,4
"18206658",0.75,0,0,0.25,0,0,0,0,3
"14573923",0,0,0.5,0,0.5,0,0,0,5
"15731657",0,0.25,0.25,0,0.5,0,0,0,4
"14496021",0.25,0.5,0,0.25,0,0,0,0,1
"18229099",0,0.5,0,0,0.5,0,0,0,4
