"","BUS","CAMION","CHASIS CABINADO","MINIBUS","REMOLQUE","SEMIREMOLQUE","TAXIBUS","TRACTOCAMION","cluster"
"76030191",0,0.16,0.02,0,0.06,0.41,0,0.35,2
"76280597",0.9,0,0,0.1,0,0,0,0,3
"61004000",0.51,0.2,0.02,0.25,0.02,0,0,0,3
"79616540",0,0.14,0,0,0.04,0.36,0,0.46,2
"77489010",0,0.08,0.04,0,0.12,0.42,0,0.34,2
"96849540",0.08,0.22,0.06,0,0,0.54,0,0.1,2
"76102311",0,0.04,0,0,0,0.4,0,0.56,2
"77852980",0.02,0.76,0.04,0.04,0,0.08,0,0.06,1
"78533120",0,0.65,0.08,0,0.24,0,0,0.02,4
"76150394",0.96,0,0,0.04,0,0,0,0,3
"76108659",0,0.02,0,0,0.08,0.39,0,0.51,2
"92011000",0,0.83,0.06,0.02,0,0.08,0,0,1
"96503550",0.04,0.6,0.06,0.06,0.02,0.08,0,0.13,1
"79610470",0.02,0.17,0.02,0.02,0,0.44,0,0.33,2
"78069250",0,0.04,0,0,0.25,0.38,0,0.33,2
"6957654",0.85,0.02,0,0.13,0,0,0,0,3
"96694600",0,0.3,0,0,0.17,0.3,0,0.23,2
"96721780",0,0.47,0.04,0.02,0.09,0.19,0,0.19,1
"76443280",0,0.51,0.15,0.02,0.02,0.19,0,0.11,1
"76136523",0.49,0.02,0,0.49,0,0,0,0,3
"76250790",0,0.09,0.04,0,0.13,0.51,0,0.23,2
"76227445",0,0.32,0.17,0,0.02,0,0,0.49,6
"78880560",0,0.35,0.04,0,0.09,0.3,0,0.22,2
"96789380",0,0.09,0.09,0,0.07,0.41,0,0.35,2
"76015643",0.02,0,0.02,0,0,0.46,0,0.5,2
"76236918",0.04,0.83,0.02,0.04,0,0.04,0,0.02,1
"76106214",0,0.17,0.07,0,0.17,0.17,0,0.41,2
"76118700",0,0.46,0.04,0.13,0,0.2,0,0.17,1
"77140240",0,0.24,0.11,0,0.09,0.22,0,0.33,2
"88192900",0,0.42,0.04,0,0,0.31,0,0.22,2
"91915000",0.07,0.49,0.07,0.02,0,0.18,0,0.18,1
"77222310",0.09,0.8,0.04,0.04,0.02,0,0,0,1
"76038177",0,0.02,0,0,0,0.71,0,0.27,2
"76162521",0,0.67,0.11,0,0,0.07,0,0.16,1
"96874380",0.05,0.18,0.02,0.02,0.02,0.41,0,0.3,2
"96538460",0.16,0.11,0.11,0,0.07,0.05,0,0.5,6
"84156500",0,0.86,0.14,0,0,0,0,0,1
"76545605",0.48,0,0,0.52,0,0,0,0,7
"69190700",0.02,0.75,0,0.2,0.02,0,0,0,1
"50104930",0,0.16,0.02,0,0.02,0.48,0,0.32,2
"79528650",0,0,0,0,0.02,0.44,0,0.53,2
"77052800",0.02,0.74,0.02,0.02,0,0.12,0,0.07,1
"96794750",0,0.26,0,0,0.19,0.35,0,0.21,2
"77082680",0,0.12,0,0,0.02,0.49,0,0.37,2
"77970090",0,0,0,0,0,0.63,0,0.37,2
"79720410",0,0.23,0.21,0.02,0.37,0.07,0,0.09,4
"79971430",0.07,0.56,0.05,0,0,0.16,0,0.16,1
"76019383",0.05,0.56,0.05,0.02,0.14,0.16,0,0.02,1
"53104170",0,0.23,0,0,0.14,0.44,0,0.19,2
"6658668",0.44,0.12,0,0,0.09,0.12,0,0.23,3
"76504100",0.79,0,0,0.21,0,0,0,0,3
"76171746",0,0.12,0.05,0,0.07,0.4,0,0.36,2
"79518000",0,0.56,0.02,0.02,0,0.24,0,0.15,1
"86968900",0.05,0.59,0.07,0,0,0.24,0,0.05,1
"76412176",0,0.51,0.02,0,0.02,0.32,0,0.12,2
"76223215",0,0.27,0,0,0.15,0.37,0,0.22,2
"8464319",0.83,0,0,0.15,0.02,0,0,0,3
"7149474",0.46,0.22,0.02,0.22,0,0.02,0,0.05,3
"79904920",0,0.25,0.1,0,0,0.28,0,0.38,2
"96707580",0.73,0,0,0.28,0,0,0,0,3
"76925060",0,0.53,0.15,0.03,0.08,0.1,0,0.13,1
"76976690",0.6,0.05,0,0.35,0,0,0,0,3
"77552950",0,0.15,0.08,0.03,0.05,0.4,0,0.3,2
"77842120",0.05,0.45,0.03,0,0.03,0.3,0,0.15,2
"76682344",0.05,0.53,0,0.15,0,0.03,0,0.25,1
"76791040",0,0,0,0,0,0.53,0,0.48,2
"76329072",0,0.85,0,0,0.13,0,0,0.03,1
"7718314",0,0.08,0.05,0,0.03,0.45,0,0.4,2
"9108373",0.8,0,0,0.1,0,0.08,0,0.03,3
"77653480",0,0.62,0.05,0,0,0.26,0,0.08,1
"78792250",0.15,0.41,0.15,0.08,0.08,0.05,0,0.08,1
